,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
0,AL01,"Bonner, Jo",R,75.25%,2010
1,AL02,"Roby, Martha",R,48.55%,2010
2,AL02,"Bright, Bobby",D,100%,2010
3,AL03,"Rogers, Mike",R,100%,2010
4,AL03,"Segrest, Steve",D,100%,2010
5,AL04,"Aderholt, Robert",R,100%,2010
6,AL05,"Brooks, Mo",R,50.81%,2010
7,AL05,"Raby, Steve",D,61.67%,2010
8,AL06,"Bachus, Spencer",R,75.64%,2010
9,AL07,"Sewell, Terri A.",D,36.80%,2010
10,AL07,"Chamberlain, Don",R,37.58%,2010
13,AK00,"Young, Don",R,70.35%,2010
14,AK00,"Crawford, Harry T., Jr.",D,100.00%,2010
17,AZ01,"Gosar, Paul",R,30.73%,2010
18,AZ01,"Kirkpatrick, Ann",D,100.00%,2010
19,AZ02,"Franks, Trent",R,80.87%,2010
20,AZ02,"Thrasher, John",D,100.00%,2010
21,AZ03,"Quayle, Ben",R,22.05%,2010
22,AZ03,"Hulburd, Jon",D,100.00%,2010
23,AZ04,"Pastor, Ed",D,100.00%,2010
24,AZ04,"Contreras, Janet",R,60.10%,2010
25,AZ05,"Schweikert, David",R,37.23%,2010
26,AZ05,"Mitchell, Harry",D,100.00%,2010
27,AZ06,"Flake, Jeff",R,64.60%,2010
28,AZ06,"Schneider, Rebecca",D,100.00%,2010
29,AZ07,"Grijalva, Raúl M.",D,100.00%,2010
30,AZ07,"McClung, Ruth",R,50.95%,2010
31,AZ08,"Giffords, Gabrielle",D,100.00%,2010
32,AZ08,"Kelly, Jesse",R,48.31%,2010
35,AR01,"Crawford, Rick",R,71.79%,2010
36,AR01,"Causey, Chad",D,26.98%,2010
37,AR02,"Griffin, Tim",R,61.69%,2010
38,AR02,"Elliott, Joyce",D,39.73%,2010
39,AR03,"Womack, Steve",R,31.18%,2010
40,AR03,"Whitaker, David",D,100%,2010
41,AR04,"Ross, Mike",D,100%,2010
42,AR04,"Rankin, Beth Anne",R,55.37%,2010
45,CA01,"Thompson, Mike",D,100.00%,2010
46,CA01,"Hanks, Loren",R,60.46%,2010
47,CA02,"Herger, Wally ",R,65.26%,2010
48,CA02,"Reed, Jim",D,100.00%,2010
49,CA03,"Lungren, Dan",R,100.00%,2010
50,CA03,"Bera, Ami",D,100.00%,2010
51,CA04,"McClintock, Tom ",R,78.48%,2010
52,CA04,"Curtis, Clint",D,100.00%,2010
53,CA05,"Matsui, Doris",D,100.00%,2010
54,CA05,"Smith, Paul A.",R,56.68%,2010
55,CA06,"Woolsey, Lynn C.",D,99.99%,2010
56,CA06,"Judd, Jim",R,67.89%,2010
57,CA07,"Miller, George ",D,85.04%,2010
58,CA07,"Tubbs, Rick",R,57.07%,2010
59,CA08,"Pelosi, Nancy",D,100.00%,2010
60,CA08,"Dennis, John",R,54.88%,2010
61,CA09,"Lee, Barbara",D,100.00%,2010
62,CA09,"Hashimoto, Gerald ",R,100.00%,2010
63,CA10,"Garamendi, John",D,100.00%,2010
64,CA10,"Clift, Gary",R,54.60%,2010
65,CA11,"McNerney, Jerry",D,100.00%,2010
66,CA11,"Harmer, David",R,36.44%,2010
67,CA12,"Speier, Jackie ",D,100.00%,2010
68,CA12,"Moloney, Mike",R,97.26%,2010
69,CA13,"Stark, Fortney Pete",D,84.35%,2010
70,CA13,"Baker, Forest ",R,54.53%,2010
71,CA14,"Eshoo, Anna G.",D,100.00%,2010
72,CA14,"Chapman, Dave",R,52.98%,2010
73,CA15,"Honda, Mike",D,100.00%,2010
74,CA15,"Kirkland, Scott",R,38.78%,2010
75,CA16,"Lofgren, Zoe",D,100.00%,2010
76,CA17,"Farr, Sam",D,88.79%,2010
77,CA17,"Taylor, Jeff",R,61.09%,2010
78,CA18,"Cardoza, Dennis",D,100.00%,2010
79,CA18,"Berryhill, Michael Clare, Sr.",R,100.00%,2010
80,CA19,"Denham, Jeff",R,36.30%,2010
81,CA19,"Goodwin, Loraine",D,52.56%,2010
82,CA20,"Costa, Jim",D,79.28%,2010
83,CA20,"Vidak, Andy",R,70.30%,2010
84,CA21,"Nunes, Devin G.",R,100.00%,2010
85,CA22,"McCarthy, Kevin",R,100.00%,2010
86,CA23,"Capps, Lois",D,100.00%,2010
87,CA23,"Watson, Tom ",R,36.08%,2010
88,CA24,"Gallegly, Elton",R,100.00%,2010
89,CA24,"Allison, Timothy J.",D,47.39%,2010
90,CA25,"McKeon, Howard P. ""Buck""",R,100.00%,2010
91,CA25,"Conaway, Jackie ",D,100.00%,2010
92,CA26,"Dreier, David",R,72.33%,2010
93,CA26,"Warner, Russ",D,100.00%,2010
94,CA27,"Sherman, Brad",D,100.00%,2010
95,CA27,"Reed, Mark",R,54.63%,2010
96,CA28,"Berman, Howard L. ",D,83.37%,2010
97,CA28,"Froyd, Merlin",R,100.00%,2010
98,CA29,"Schiff, Adam B.",D,100.00%,2010
99,CA29,"Colbert, John P.",R,100.00%,2010
100,CA30,"Waxman, Henry A.",D,100.00%,2010
101,CA30,"Wilkerson, Charles E.",R,32.57%,2010
102,CA31,"Becerra, Xavier",D,88.03%,2010
103,CA31,"Smith, Stephen C.",R,100.00%,2010
104,CA32,"Chu, Judy",D,100.00%,2010
105,CA32,"Schmerling, Edward ""Ed""",R,100.00%,2010
106,CA33,"Bass, Karen",D,85.30%,2010
107,CA33,"Andion, James L.",R,51.29%,2010
108,CA34,"Roybal-Allard, Lucille",D,70.75%,2010
109,CA34,"Miller, Wayne",R,100.00%,2010
110,CA35,"Waters, Maxine",D,100.00%,2010
111,CA35,"Brown, K. Bruce",R,100.00%,2010
112,CA36,"Harman, Jane",D,59.09%,2010
113,CA36,"Fein, Mattie",R,50.22%,2010
114,CA37,"Richardson, Laura",D,67.34%,2010
115,CA37,"Parker, Star ",R,100.00%,2010
116,CA38,"Napolitano, Grace F.",D,100.00%,2010
117,CA38,"Vaughn, Robert",R,99.84%,2010
118,CA39,"Sanchez, Linda T.",D,100.00%,2010
