percent_bachelor_or_above,name,state_fips,district,year,congress_session,raceyear,state,area,repcandidate,demcandidate
17.3,"Congressional District 1 (111th Congress), Nevada",32,01,2010,111th Congress,2008,Nevada,District 1,"Wegner, Kenneth","Berkley, Shelley"
22.2,"Congressional District 2 (111th Congress), Nevada",32,02,2010,111th Congress,2008,Nevada,District 2,"Heller, Dean","Derby, Jill"
25.0,"Congressional District 3 (111th Congress), Nevada",32,03,2010,111th Congress,2008,Nevada,District 3,"Porter, Jon","Titus, Dina"
32.9,"Congressional District 1 (111th Congress), New Hampshire",33,01,2010,111th Congress,2008,New Hampshire,District 1,"Bradley, Jeb","Shea-Porter, Carol"
32.8,"Congressional District 2 (111th Congress), New Hampshire",33,02,2010,111th Congress,2008,New Hampshire,District 2,"Horn, Jennifer","Hodes, Paul W."
25.0,"Congressional District 1 (111th Congress), New Jersey",34,01,2010,111th Congress,2008,New Jersey,District 1,"Glading, Dale M.","Andrews, Robert E."
21.9,"Congressional District 2 (111th Congress), New Jersey",34,02,2010,111th Congress,2008,New Jersey,District 2,"LoBiondo, Frank A.","Kurkowski, David"
31.9,"Congressional District 3 (111th Congress), New Jersey",34,03,2010,111th Congress,2008,New Jersey,District 3,"Myers, Chris","Adler, John"
29.6,"Congressional District 4 (111th Congress), New Jersey",34,04,2010,111th Congress,2008,New Jersey,District 4,"Smith, Christopher H.","Zeitz, Joshua M."
43.3,"Congressional District 5 (111th Congress), New Jersey",34,05,2010,111th Congress,2008,New Jersey,District 5,"Garrett, Scott","Shulman, Dennis"
34.3,"Congressional District 6 (111th Congress), New Jersey",34,06,2010,111th Congress,2008,New Jersey,District 6,"McLeod, Robert E.","Pallone, Frank Jr."
45.9,"Congressional District 7 (111th Congress), New Jersey",34,07,2010,111th Congress,2008,New Jersey,District 7,"Lance, Leonard","Stender, Linda"
32.7,"Congressional District 8 (111th Congress), New Jersey",34,08,2010,111th Congress,2008,New Jersey,District 8,"Straten, Roland","Pascrell, William J. Jr."
36.2,"Congressional District 9 (111th Congress), New Jersey",34,09,2010,111th Congress,2008,New Jersey,District 9,"Micco, Vincent","Rothman, Steven R."
21.9,"Congressional District 10 (111th Congress), New Jersey",34,10,2010,111th Congress,2008,New Jersey,District 10,,"Payne, Donald M. Jr."
49.5,"Congressional District 11 (111th Congress), New Jersey",34,11,2010,111th Congress,2008,New Jersey,District 11,"Frelinghuysen, Rodney","Wyka, Tom"
47.7,"Congressional District 12 (111th Congress), New Jersey",34,12,2010,111th Congress,2008,New Jersey,District 12,"Bateman, Alan R.","Holt, Rush D."
28.0,"Congressional District 13 (111th Congress), New Jersey",34,13,2010,111th Congress,2008,New Jersey,District 13,"Turula, Joseph","Sires, Albio"
30.6,"Congressional District 1 (111th Congress), New Mexico",35,01,2010,111th Congress,2008,New Mexico,District 1,"White, Darren","Heinrich, Martin"
19.1,"Congressional District 2 (111th Congress), New Mexico",35,02,2010,111th Congress,2008,New Mexico,District 2,"Tinsley, Edward R.","Teague, Harry"
26.1,"Congressional District 3 (111th Congress), New Mexico",35,03,2010,111th Congress,2008,New Mexico,District 3,"East, Daniel K.","Lujan, Ben Ray"
32.7,"Congressional District 1 (111th Congress), New York",36,01,2010,111th Congress,2008,New York,District 1,"Zeldin, Lee M.","Bishop, Timothy H."
34.1,"Congressional District 2 (111th Congress), New York",36,02,2010,111th Congress,2008,New York,District 2,"Stalzer, Frank J.","Israel, Steve J."
36.9,"Congressional District 3 (111th Congress), New York",36,03,2010,111th Congress,2008,New York,District 3,"King, Peter T.","Long, Graham E."
36.1,"Congressional District 4 (111th Congress), New York",36,04,2010,111th Congress,2008,New York,District 4,"Martins, Jack M.","McCarthy, Carolyn"
37.4,"Congressional District 5 (111th Congress), New York",36,05,2010,111th Congress,2008,New York,District 5,"Berney, Elizabeth","Ackerman, Gary L."
22.5,"Congressional District 6 (111th Congress), New York",36,06,2010,111th Congress,2008,New York,District 6,,"Meeks, Gregory W."
23.6,"Congressional District 7 (111th Congress), New York",36,07,2010,111th Congress,2008,New York,District 7,"Britt, William E. Jr.","Crowley, Joseph"
54.2,"Congressional District 8 (111th Congress), New York",36,08,2010,111th Congress,2008,New York,District 8,"Lin, Grace","Nadler, Jerrold"
37.5,"Congressional District 9 (111th Congress), New York",36,09,2010,111th Congress,2008,New York,District 9,,"Weiner, Anthony"
24.4,"Congressional District 10 (111th Congress), New York",36,10,2010,111th Congress,2008,New York,District 10,"Grupico, Salvatore","Towns, Edolphus"
32.6,"Congressional District 11 (111th Congress), New York",36,11,2010,111th Congress,2008,New York,District 11,"Carr, Hugh C.","Clarke, Yvette D."
26.8,"Congressional District 12 (111th Congress), New York",36,12,2010,111th Congress,2008,New York,District 12,"Romaguera, Allan","Velázquez, Nydia M."
28.4,"Congressional District 13 (111th Congress), New York",36,13,2010,111th Congress,2008,New York,District 13,"Straniere, Robert A.","McMahon, Michael E."
64.6,"Congressional District 14 (111th Congress), New York",36,14,2010,111th Congress,2008,New York,District 14,"Heim, Robert G.","Maloney, Carolyn B."
35.0,"Congressional District 15 (111th Congress), New York",36,15,2010,111th Congress,2008,New York,District 15,"Daniels, Edward","Rangel, Charles B."
10.6,"Congressional District 16 (111th Congress), New York",36,16,2010,111th Congress,2008,New York,District 16,"Mohamed, Ali","Serrano, Jose E."
31.6,"Congressional District 17 (111th Congress), New York",36,17,2010,111th Congress,2008,New York,District 17,"Goodman, Robert","Engel, Eliot L."
48.1,"Congressional District 18 (111th Congress), New York",36,18,2010,111th Congress,2008,New York,District 18,"Russell, Jim","Lowey, Nita M."
36.4,"Congressional District 19 (111th Congress), New York",36,19,2010,111th Congress,2008,New York,District 19,"Lalor, Kieran Michael","Hall, John"
28.7,"Congressional District 20 (111th Congress), New York",36,20,2010,111th Congress,2008,New York,District 20,"Treadwell, Sandy","Gillibrand, Kirsten E."
30.3,"Congressional District 21 (111th Congress), New York",36,21,2010,111th Congress,2008,New York,District 21,"Buhrmaster, James R.","Tonko, Paul D."
27.3,"Congressional District 22 (111th Congress), New York",36,22,2010,111th Congress,2008,New York,District 22,"Phillips, George K.","Hinchey, Maurice D."
19.0,"Congressional District 23 (111th Congress), New York",36,23,2010,111th Congress,2008,New York,District 23,"McHugh, John M.","Oot, Michael P."
22.5,"Congressional District 24 (111th Congress), New York",36,24,2010,111th Congress,2008,New York,District 24,"Hanna, Richard L.","Arcuri, Michael A."
