"StateDistrict","Year","LaborForce","Name"
"Alabama  1","10","72.40000","Bonner, Jo"
"Alabama  1","12","71.90000","Bonner, Jo"
"Alabama  1","14","75.90000","Byrne, Bradley"
"Alabama  1","16","69.99048","Byrne, Bradley"
"Alabama  2","10","69.90000","Bright, Bobby"
"Alabama  2","12","68.70000","Roby, Martha"
"Alabama  2","14","72.90000","Roby, Martha"
"Alabama  2","16","68.10000","Roby, Martha"
"Alabama  3","10","68.90000","Rogers, Mike"
"Alabama  3","12","71.00000","Rogers, Mike"
"Alabama  3","14","74.60000","Rogers, Mike"
"Alabama  3","16","65.50000","Rogers, Mike"
"Alabama  4","10","70.31053","Aderholt, Robert"
"Alabama  4","12","73.00000","Aderholt, Robert"
"Alabama  4","14","73.90000","Aderholt, Robert"
"Alabama  4","16","66.30000","Aderholt, Robert"
"Alabama  5","10","71.37143","Griffith, Parker"
"Alabama  5","12","73.10000","Brooks, Mo"
"Alabama  5","14","75.20000","Brooks, Mo"
"Alabama  5","16","66.20000","Brooks, Mo"
"Alabama  6","10","73.00000","Bachus, Spencer"
"Alabama  6","12","70.86842","Bachus, Spencer"
"Alabama  6","16","66.30000","Palmer, Gary"
"Alabama  7","12","68.68571","Sewell, Terri A."
"Alabama  7","14","76.60000","Sewell, Terri A."
"Alabama  7","16","68.50000","Sewell, Terri A."
"Alaska  0","10","73.20000","Young, Don"
"Alaska  0","12","65.90000","Young, Don"
"Alaska  0","14","76.22381","Young, Don"
"Alaska  0","16","72.80000","Young, Don"
"Arizona  1","10","72.30000","Kirkpatrick, Ann"
"Arizona  1","14","75.50000","Kirkpatrick, Ann"
"Arizona  2","10","71.10000","Franks, Trent"
"Arizona  2","12","65.70000","Barber, Ron "
"Arizona  2","14","76.50000","Barber, Ron"
"Arizona  2","16","69.10000","McSally, Martha"
"Arizona  3","12","64.90000","Grijalva, Raúl M."
"Arizona  3","14","76.70000","Grijalva, Raul "
"Arizona  3","16","69.90000","Grijalva, Raúl"
"Arizona  4","10","70.03158","Pastor, Ed"
"Arizona  4","12","71.80000","Gosar, Raul"
"Arizona  4","14","75.50000","Gosar, Paul"
"Arizona  4","16","69.70000","Gosar, Paul"
"Arizona  5","10","68.71429","Mitchell, Harry"
"Arizona  5","14","75.80000","Salmon, Matt"
"Arizona  6","10","68.40000","Flake, Jeff"
"Arizona  6","12","68.34737","Quayle, Ben"
"Arizona  6","12","68.34737","Schweikert, David"
"Arizona  6","14","77.40000","Schweikert, David "
"Arizona  6","16","71.10000","Schweikert, David"
"Arizona  7","10","66.70000","Grijalva, Raúl M."
"Arizona  7","12","65.03810","Pastor, Ed"
"Arizona  7","16","68.90000","Gallego, Ruben"
"Arizona  8","10","67.20000","Giffords, Gabrielle"
"Arizona  8","12","63.00000","Franks, Trent "
"Arizona  8","14","76.43684","Franks, Trent"
"Arizona  8","16","76.10000","Franks, Trent"
"Arkansas  1","12","59.80000","Crawford, Rick "
"Arkansas  1","14","74.50000","Crawford, Rick "
"Arkansas  1","16","78.03158","Crawford, Rick "
"Arkansas  2","12","61.00000","Griffin, Tim "
"Arkansas  2","16","79.08571","Hill, French"
"Arkansas  3","12","61.20000","Womack, Steve"
"Arkansas  3","14","73.30000","Womack, Steve"
"Arkansas  3","16","79.80000","Womack, Steve"
"Arkansas  4","10","75.70000","Ross, Mike"
"Arkansas  4","16","79.80000","Westerman, Bruce"
"California  1","10","68.45714","Thompson, Mike"
"California  1","14","73.50000","La Malfa, Doug"
"California  1","16","79.80000","La Malfa, Doug"
"California  2","10","65.60000","Herger, Wally "
"California  2","14","77.10000","Huffman, Jared"
"California  2","16","79.50000","Huffman, Jared W."
"California  3","10","66.10000","Lungren, Dan"
"California  3","12","74.68571","Garamendi, John "
"California  3","14","77.10000","Garamendi, John"
"California  3","16","79.70000","Garamendi, John G."
"California  4","10","64.40000","McClintock, Tom "
"California  4","12","74.20000","McClintock, Tom"
"California  4","14","75.51053","McClintock, Tom"
"California  4","16","77.00000","McClintock, Tom"
"California  5","10","64.80000","Matsui, Doris"
"California  5","12","72.90000","Thompson, Mike "
"California  5","14","74.05714","Thompson, Mike"
"California  5","16","76.50000","Thompson, Mike "
"California  6","10","65.80000","Woolsey, Lynn C."
"California  6","12","73.80000","Matsui, Doris "
"California  6","14","72.60000","Matsui, Doris"
"California  6","16","77.88421","Matsui, Doris"
"California  7","10","67.10000","Miller, George "
"California  7","12","74.20000","Lungren, Dan"
"California  7","14","73.30000","Bera, Ami"
"California  7","16","79.01905","Bera, Ami"
"California  8","10","71.60000","Pelosi, Nancy"
"California  8","14","72.50000","Cook, Paul"
"California  8","16","79.80000","Cook, Paul "
"California  9","10","69.30000","Lee, Barbara"
"California  9","12","73.90000","McNerney, Jerry "
"California  9","14","73.60000","McNerney, Jerry"
"California  9","16","79.80000","McNerney, Jerry"
"California 10","10","71.75789","Garamendi, John"
"California 10","12","79.10000","Denham, Jeff"
"California 10","14","73.30000","Denham, Jeff"
"California 10","16","81.00000","Denham, Jeff"
"California 11","10","73.40000","McNerney, Jerry"
"California 11","12","79.70000","Miller, George "
"California 11","16","79.80000","DeSaulnier, Mark"
"California 12","10","73.90000","Speier, Jackie "
"California 12","12","78.10526","Pelosi, Nancy "
"California 12","14","76.00000","Pelosi, Nancy"
"California 12","16","79.50000","Pelosi, Nancy "
"California 13","10","75.70000","Stark, Fortney Pete"
"California 13","12","76.75714","Lee, Barbara "
"California 13","14","74.90000","Lee, Barbara"
"California 13","16","79.70000","Lee, Barbara"
"California 14","10","75.60000","Eshoo, Anna G."
"California 14","12","75.90000","Speier, Jackie "
"California 14","14","74.16316","Speier, Jackie"
"California 14","16","70.70000","Speier, Jackie"
"California 15","10","75.80000","Honda, Mike"
"California 15","12","75.30000","Stark, Fortney Pete "
"California 15","14","73.10952","Swalwell, Eric"
"California 15","16","70.00000","Swalwell, Eric"
"California 16","10","77.00000","Lofgren, Zoe"
"California 16","12","75.80000","Costa, Jim"
"California 16","14","71.80000","Costa, Jim"
"California 16","16","70.61579","Costa, Jim"
"California 17","10","77.30000","Farr, Sam"
"California 17","12","74.90000","Honda, Mike "
"California 17","14","73.20000","Honda, Mike"
