"","STATE_CD","year","dem_percent"
"1","Alabama 1",2014,0.381724873
"2","Alabama 2",2014,0.419044159
"3","Alabama 3",2014,0.468938495
"4","Alabama 4",2014,0.224703212
"5","Alabama 5",2014,0.356304314
"6","Alabama 6",2014,0.420412134
"7","Alabama 7",2014,0.528870156
"8","Arizona 1",2014,0.43368944
"9","Arizona 2",2014,0.429787361
"10","Arizona 3",2014,0.438797679
"11","Arizona 4",2014,0.438797679
"12","Arizona 5",2014,0.438797679
"13","Arizona 6",2014,0.436733064
"14","Arizona 7",2014,0.457491062
"15","Arizona 8",2014,0.497771413
"16","Arizona 9",2014,NA
"17","Arkansas 1",2014,0.363115241
"18","Arkansas 2",2014,0.436438188
"19","Arkansas 3",2014,0.321825417
"20","Arkansas 4",2014,0.389008941
"21","California 1",2014,0.685783757
"22","California 2",2014,0.466282285
"23","California 3",2014,0.587944725
"24","California 4",2014,0.507320632
"25","California 5",2014,0.583663145
"26","California 6",2014,0.741492394
"27","California 7",2014,0.664042241
"28","California 8",2014,0.862632886
"29","California 9",2014,0.807658627
"30","California 10",2014,0.697936769
"31","California 11",2014,0.722268037
"32","California 12",2014,0.809000156
"33","California 13",2014,0.807658627
"34","California 14",2014,0.725889552
"35","California 15",2014,0.71569854
"36","California 16",2014,0.71569854
"37","California 17",2014,0.715561029
"38","California 18",2014,0.505021747
"39","California 19",2014,0.47937681
"40","California 20",2014,0.438904477
"41","California 21",2014,0.463209894
"42","California 22",2014,0.677058491
"43","California 23",2014,0.539011256
"44","California 24",2014,0.548571457
"45","California 25",2014,0.672419585
"46","California 26",2014,0.673149146
"47","California 27",2014,0.705029674
"48","California 28",2014,0.705029674
"49","California 29",2014,0.705029674
"50","California 30",2014,0.705029674
"51","California 31",2014,0.705029674
"52","California 32",2014,0.705029674
"53","California 33",2014,0.705029674
"54","California 34",2014,0.705029674
"55","California 35",2014,0.705029674
"56","California 36",2014,0.705029674
"57","California 37",2014,0.705029674
"58","California 38",2014,0.705029674
"59","California 39",2014,0.705029674
"60","California 40",2014,0.45768618
"61","California 41",2014,0.511962808
"62","California 42",2014,0.61783541
"63","California 43",2014,0.5276473
"64","California 44",2014,0.472413662
"65","California 45",2014,0.497860656
"66","California 46",2014,0.631741085
"67","California 47",2014,0.45768618
"68","California 48",2014,0.45768618
"69","California 49",2014,0.515082227
"70","California 50",2014,0.526027235
"71","California 51",2014,0.529504795
"72","California 52",2014,0.526027235
"73","California 53",2014,0.526027235
"74","Colorado 1",2014,NA
"75","Colorado 2",2014,NA
"76","Colorado 3",2014,NA
"77","Colorado 4",2014,NA
"78","Colorado 5",2014,NA
"79","Colorado 6",2014,NA
"80","Colorado 7",2014,NA
"81","Connecticut 1",2014,NA
"82","Connecticut 2",2014,NA
"83","Connecticut 3",2014,NA
"84","Connecticut 4",2014,NA
"85","Connecticut 5",2014,NA
"86","Delaware 0",2014,0.594444431
"87","Florida 1",2014,NA
"88","Florida 2",2014,NA
"89","Florida 3",2014,NA
"90","Florida 4",2014,NA
"91","Florida 5",2014,NA
"92","Florida 6",2014,NA
"93","Florida 7",2014,NA
"94","Florida 8",2014,NA
"95","Florida 9",2014,NA
"96","Florida 10",2014,NA
"97","Florida 11",2014,NA
"98","Florida 12",2014,NA
"99","Florida 13",2014,NA
"100","Florida 14",2014,NA
"101","Florida 15",2014,NA
"102","Florida 16",2014,NA
"103","Florida 17",2014,NA
"104","Florida 18",2014,NA
"105","Florida 19",2014,NA
"106","Florida 20",2014,NA
"107","Florida 21",2014,NA
"108","Florida 22",2014,NA
"109","Florida 23",2014,NA
"110","Florida 24",2014,NA
"111","Florida 25",2014,NA
"112","Florida 26",2014,NA
"113","Florida 27",2014,NA
"114","Georgia 1",2014,NA
"115","Georgia 2",2014,NA
"116","Georgia 3",2014,NA
"117","Georgia 4",2014,NA
"118","Georgia 5",2014,NA
"119","Georgia 6",2014,NA
"120","Georgia 7",2014,NA
"121","Georgia 8",2014,NA
"122","Georgia 9",2014,NA
"123","Georgia 10",2014,NA
"124","Georgia 11",2014,NA
"125","Georgia 12",2014,NA
"126","Georgia 13",2014,NA
"127","Georgia 14",2014,NA
