district,year,full_name,ranks
ALABAMA 1,2010,Jo Bonner,500
ALABAMA 2,2010,Martha Roby,161
ALABAMA 2,2010,Bobby Bright,93
ALABAMA 3,2010,Mike Rogers,1
ALABAMA 3,2010,Steve Segrest,159
ALABAMA 4,2010,Robert B. Aderholt,7
ALABAMA 5,2010,Mo Brooks,500
ALABAMA 5,2010,Steve Raby,159
ALABAMA 6,2010,Spencer Bachus,500
ALABAMA 7,2010,Don Chamberlain,42
ALABAMA 7,2010,Terri A. Sewell,148
ALASKA 1,2010,Don Young,42
ALASKA 1,2010,"Harry T. Crawford, Jr.",200
ALASKA 1,2010,Paul Gosar,27
ALASKA 1,2010,Ann Kirkpatrick,100
ALASKA 2,2010,Trent Franks,500
ALASKA 2,2010,John Thrasher,6
ALASKA 3,2010,Ben Quayle,44
ALASKA 3,2010,Jon Hulburd,97
ALASKA 4,2010,Janet Contreras,125
ALASKA 4,2010,Ed Pastor,40
ALASKA 5,2010,David Schweikert,4
ALASKA 5,2010,Harry E. Mitchell,200
ALASKA 6,2010,Jeff Flake,192
ALASKA 6,2010,Rebecca Schneider,13
ARIZONA 7,2010,Ruth McClung,196
ARIZONA 7,2010,Raúl M. Grijalva,500
ARIZONA 8,2010,Jesse Kelly,66
ARIZONA 8,2010,Gabrielle Giffords,500
ARKANSAS 1,2010,Rick Crawford,16
ARKANSAS 1,2010,Chad Causey,30
ARKANSAS 2,2010,Tim Griffin,21
ARKANSAS 2,2010,Joyce Elliott,500
ARKANSAS 3,2010,Steve Womack,159
ARKANSAS 3,2010,David Whitaker,4
ARKANSAS 4,2010,Beth Anne Rankin,110
ARKANSAS 4,2010,Mike Ross,1
CALIFORNIA 1,2010,Loren Hanks,500
CALIFORNIA 1,2010,Mike Thompson,1
CALIFORNIA 2,2010,Wally Herger,500
CALIFORNIA 2,2010,Jim Reed,5
CALIFORNIA 3,2010,Daniel E. Lungren,12
CALIFORNIA 3,2010,Ami Bera,500
CALIFORNIA 4,2010,Tom McClintock,20
CALIFORNIA 4,2010,Clint Curtis,500
CALIFORNIA 5,2010,Paul A. Smith,27
CALIFORNIA 5,2010,Doris O. Matsui,500
CALIFORNIA 6,2010,Jim Judd,5
CALIFORNIA 6,2010,Lynn C. Woolsey,164
CALIFORNIA 7,2010,Rick Tubbs,16
CALIFORNIA 7,2010,George Miller,53
CALIFORNIA 8,2010,John Dennis,6
CALIFORNIA 8,2010,Nancy Pelosi,78
CALIFORNIA 9,2010,Gerald Hashimoto,104
CALIFORNIA 9,2010,Barbara Lee,76
CALIFORNIA 10,2010,Gary Clift,47
CALIFORNIA 10,2010,John Garamendi,6
CALIFORNIA 11,2010,David Harmer,4
CALIFORNIA 11,2010,Jerry McNerney,63
CALIFORNIA 12,2010,Mike Moloney,1
CALIFORNIA 12,2010,Jackie Speier,500
CALIFORNIA 13,2010,Forest Baker,500
CALIFORNIA 13,2010,Fortney Pete Stark,500
CALIFORNIA 14,2010,Dave Chapman,4
CALIFORNIA 14,2010,Anna G. Eshoo,87
CALIFORNIA 15,2010,Scott Kirkland,17
CALIFORNIA 15,2010,Michael M. Honda,1
CALIFORNIA 16,2010,Daniel Sahagun,12
CALIFORNIA 16,2010,Zoe Lofgren,500
CALIFORNIA 17,2010,Jeff Taylor,192
CALIFORNIA 17,2010,Sam Farr,64
CALIFORNIA 18,2010,"Michael Clare Berryhill, Sr.",1
CALIFORNIA 18,2010,Dennis A. Cardoza,59
CALIFORNIA 19,2010,Jeff Denham,192
CALIFORNIA 19,2010,Loraine Goodwin,500
CALIFORNIA 20,2010,Andy Vidak,28
CALIFORNIA 20,2010,Jim Costa,5
CALIFORNIA 21,2010,Devin Nunes,500
CALIFORNIA 22,2010,Kevin McCarthy,13
CALIFORNIA 23,2010,Tom Watson,20
CALIFORNIA 23,2010,Lois Capps,500
CALIFORNIA 24,2010,Elton Gallegly,500
CALIFORNIA 24,2010,Timothy J. Allison,21
CALIFORNIA 25,2010,Howard P. ‘‘Buck’’ McKeon,188
CALIFORNIA 25,2010,Jackie Conaway,500
CALIFORNIA 26,2010,David Dreier,4
CALIFORNIA 26,2010,Russ Warner,500
CALIFORNIA 27,2010,Mark Reed,18
CALIFORNIA 27,2010,Brad Sherman,123
CALIFORNIA 28,2010,Merlin Froyd,500
CALIFORNIA 28,2010,Howard L. Berman,188
CALIFORNIA 29,2010,John P. Colbert,6
CALIFORNIA 29,2010,Adam B. Schiff,36
CALIFORNIA 30,2010,Charles E. Wilkerson,23
CALIFORNIA 30,2010,Henry A. Waxman,120
CALIFORNIA 31,2010,Stephen C. Smith,33
CALIFORNIA 31,2010,Xavier Becerra,500
CALIFORNIA 32,2010,Edward ‘‘Ed’’ Schmerling,40
CALIFORNIA 32,2010,Judy Chu,500
CALIFORNIA 33,2010,James L. Andion,5
CALIFORNIA 33,2010,Karen Bass,25
CALIFORNIA 34,2010,Wayne Miller,112
CALIFORNIA 34,2010,Lucille Roybal-Allard,500
CALIFORNIA 35,2010,K. Bruce Brown,500
CALIFORNIA 35,2010,Maxine Waters,500
CALIFORNIA 36,2010,Mattie Fein,500
CALIFORNIA 36,2010,Jane Harman,500
CALIFORNIA 37,2010,Star Parker,500
CALIFORNIA 37,2010,Laura Richardson,20
CALIFORNIA 38,2010,Robert Vaughn,7
CALIFORNIA 38,2010,Grace F. Napolitano,500
CALIFORNIA 39,2010,Larry S. Andre,58
CALIFORNIA 39,2010,Linda T. Sánchez,68
CALIFORNIA 40,2010,Edward R. Royce,40
CALIFORNIA 40,2010,Christina Avalos,16
CALIFORNIA 41,2010,Jerry Lewis,63
