Year,District,Candidate,Incumbent
2018,Alabama 1,Bradley Byrne,TRUE
2018,Alabama 1,Robert Kennedy Jr.,FALSE
2018,Alabama 2,Tabitha Isner,FALSE
2018,Alabama 2,Martha Roby,TRUE
2018,Alabama 3,Mallory Hagan,FALSE
2018,Alabama 3,Mike Rogers,TRUE
2018,Alabama 4,Robert Aderholt,TRUE
2018,Alabama 4,Lee Auman,FALSE
2018,Alabama 5,Mo Brooks,TRUE
2018,Alabama 5,Peter Joffrion,FALSE
2018,Alabama 6,Danner Kline,FALSE
2018,Alabama 6,Gary Palmer,TRUE
2018,Alabama 7,Terri Sewell,TRUE
2018,Alaska at-large,Alyse Galvin,FALSE
2018,Alaska at-large,Don Young,TRUE
2018,Arizona 1,Tom O'Halleran,TRUE
2018,Arizona 1,Wendy Rogers,FALSE
2018,Arizona 2,Ann Kirkpatrick,FALSE
2018,Arizona 2,Lea Marquez-Peterson,FALSE
2018,Arizona 3,Ra̼l Grijalva,TRUE
2018,Arizona 3,Nick Pierson,FALSE
2018,Arizona 4,David Brill,FALSE
2018,Arizona 4,Paul Gosar,TRUE
2018,Arizona 4,Haryaksha Gregor Knauer,FALSE
2018,Arizona 5,Andy Biggs,TRUE
2018,Arizona 5,Joan Greene,FALSE
2018,Arizona 6,Anita Malik,FALSE
2018,Arizona 6,David Schweikert,TRUE
2018,Arizona 7,Ruben Gallego,TRUE
2018,Arizona 7,Gary Swing,FALSE
2018,Arizona 8,Debbie Lesko,TRUE
2018,Arizona 8,Hiral Tipirneni,FALSE
2018,Arizona 9,Steve Ferrara,FALSE
2018,Arizona 9,Greg Stanton,FALSE
2018,Arkansas 1,Rick Crawford,TRUE
2018,Arkansas 1,Chintan Desai,FALSE
2018,Arkansas 1,Elvis Presley,FALSE
2018,Arkansas 2,French Hill,TRUE
2018,Arkansas 2,Joe Ryne Swafford,FALSE
2018,Arkansas 2,Clarke Tucker,FALSE
2018,Arkansas 3,Michael Kalagias,FALSE
2018,Arkansas 3,Josh Mahony,FALSE
2018,Arkansas 3,Josh Moody,FALSE
2018,Arkansas 3,Steve Womack,TRUE
2018,Arkansas 4,Tom Canada,FALSE
2018,Arkansas 4,Jack Foster,FALSE
2018,Arkansas 4,Lee McQueen,FALSE
2018,Arkansas 4,Hayden Shamel,FALSE
2018,Arkansas 4,Bruce Westerman,TRUE
2018,California 1,Audrey Denney,FALSE
2018,California 1,Doug LaMalfa,TRUE
2018,California 2,Jared Huffman,TRUE
2018,California 2,Dale Mensing,FALSE
2018,California 3,John Garamendi,TRUE
2018,California 3,Charlie Schaupp,FALSE
2018,California 4,Tom McClintock,TRUE
2018,California 4,Jessica Morse,FALSE
2018,California 5,Anthony Mills,FALSE
2018,California 5,Mike Thompson,TRUE
2018,California 6,Jrmar Jefferson,FALSE
2018,California 6,Doris Matsui,TRUE
2018,California 7,Ami Bera,TRUE
2018,California 7,Andrew Grant,FALSE
2018,California 8,Paul Cook,TRUE
2018,California 8,Tim Donnelly,FALSE
2018,California 9,Marla Livengood,FALSE
2018,California 9,Jerry McNerney,TRUE
2018,California 10,Jeff Denham,TRUE
2018,California 10,Josh Harder,FALSE
2018,California 11,Mark DeSaulnier,TRUE
2018,California 11,John Fitzgerald,FALSE
2018,California 12,Nancy Pelosi,TRUE
2018,California 12,Lisa Remmer,FALSE
2018,California 13,Barbara Lee,TRUE
