,congressional_district,minority_percentage,year,candidates
0,"Congressional District 1 (110th Congress), Alabama",0.31434,2008,Jo Bonner (Republican)
1,"Congressional District 2 (110th Congress), Alabama",0.34189,2008,"Bobby Bright (Democratic), Jay Love (Republican)"
2,"Congressional District 3 (110th Congress), Alabama",0.35377,2008,"Mike Rogers (Republican), Joshua Segall (Democratic)"
3,"Congressional District 4 (110th Congress), Alabama",0.08302,2008,"Robert Aderholt (Republican), Nicholas Sparks (Democratic)"
4,"Congressional District 5 (110th Congress), Alabama",0.22916,2008,"Parker Griffith (Democratic), Wayne Parker (Republican)"
5,"Congressional District 6 (110th Congress), Alabama",0.15546,2008,Spencer Bachus (Republican)
6,"Congressional District 7 (110th Congress), Alabama",0.65661,2008,Artur Davis (Democratic)
7,"Congressional District (at Large) (110th Congress), Alaska",0.30887,2008,"Don Young (Republican), Ethan Berkowitz (Democratic), Don Wright (Alaskan"
8,"Congressional District 1 (110th Congress), Arizona",0.31664,2008,"Ann Kirkpatrick (Democratic), Sydney Hay (Republican), Brent Maupin (Independent), Thane Eichenauer (Libertarian)"
9,"Congressional District 2 (110th Congress), Arizona",0.16741,2008,"Trent Franks (Republican), John Thrasher (Democratic), Powell Gammill (Libertarian), William Crum (Green)"
10,"Congressional District 3 (110th Congress), Arizona",0.16189,2008,"John Shadegg (Republican), Bob Lord (Democratic), Michael Shoen (Libertarian)"
11,"Congressional District 4 (110th Congress), Arizona",0.23901,2008,"Ed Pastor (Democratic), Don Karg (Republican), Rebecca DeWitt (Green), Joe Cobb (Libertarian)"
12,"Congressional District 5 (110th Congress), Arizona",0.14279,2008,"Harry Mitchell (Democratic), David Schweikert (Republican), Warren Severin (Libertarian)"
13,"Congressional District 6 (110th Congress), Arizona",0.15028,2008,"Jeff Flake (Republican), Rebecca Schneider (Democratic), Rick Biondi (Libertarian)"
14,"Congressional District 7 (110th Congress), Arizona",0.28663,2008,"Raul Grijalva (Democratic), Joseph Sweeney (Republican), Raymond Patrick Petrulsky (Libertarian)"
15,"Congressional District 8 (110th Congress), Arizona",0.1371,2008,"Gabrielle Giffords (Democratic), Tim Bee (Republican), Paul Davis (Libertarian)"
16,"Congressional District 1 (110th Congress), Arkansas",0.19225,2008,Marion Berry (Democratic)
17,"Congressional District 2 (110th Congress), Arkansas",0.25762,2008,"Vic Snyder (Democratic), Deb McFarland (Green), Danial Suits (Write-In)"
18,"Congressional District 3 (110th Congress), Arkansas",0.12328,2008,"John Boozman (Republican), Abel Tomlinson (Green)"
19,"Congressional District 4 (110th Congress), Arkansas",0.29175,2008,"Mike Ross (Democratic), Joshua Drake (Green)"
20,"Congressional District 1 (110th Congress), California",0.21024,2008,"Mike Thompson (Democratic), Zane Starkewolf (Republican), Carol Wolman (Green)"
21,"Congressional District 2 (110th Congress), California",0.1961,2008,"Wally Herger (Republican), Jeff Morris (Democratic)"
22,"Congressional District 3 (110th Congress), California",0.28074,2008,"Dan Lungren (Republican), Bill Durston (Democratic), Dina Padilla (Peace, Douglas Arthur Tuma (Libertarian)"
23,"Congressional District 4 (110th Congress), California",0.14633,2008,"Tom McClintock (Republican), Charles Brown (Democratic)"
24,"Congressional District 5 (110th Congress), California",0.46801,2008,"Doris Matsui (Democratic), Paul Smith (Republican), L.R. Roberts (Peace"
25,"Congressional District 6 (110th Congress), California",0.1814,2008,"Lynn Woolsey (Democratic), Mike Halliwell (Republican), Joel Smolen (Libertarian)"
26,"Congressional District 7 (110th Congress), California",0.47054,2008,"George Miller (Democratic), Roger Allen Petersen (Republican), Bill Callison (Peace, Camden McConnell (Libertarian)"
27,"Congressional District 8 (110th Congress), California",0.45265,2008,"Nancy Pelosi (Democratic), Cindy Sheehan (Independent), Dana Walsh (Republican), Philip Berg (Libertarian)"
28,"Congressional District 9 (110th Congress), California",0.51721,2008,"Barbara Lee (Democratic), Charles Hargrave (Republican), James Eyer (Libertarian)"
29,"Congressional District 10 (110th Congress), California",0.3313,2008,"Ellen Tauscher (Democratic), Nicholas Gerber (Republican), Eugene Ruyle (Peace"
30,"Congressional District 11 (110th Congress), California",0.3175,2008,"Jerry McNerney (Democratic), Dean Andal (Republican)"
31,"Congressional District 12 (110th Congress), California",0.43921,2008,"Jackie Speier (Democratic), Greg Conlon (Republican), Nathalie Hrizi (Peace, Barry Hermanson (Green), Kevin Dempsey Peterson (Libertarian)"
32,"Congressional District 13 (110th Congress), California",0.59964,2008,"Pete Stark (Democratic), Raymond Chui (Republican)"
33,"Congressional District 14 (110th Congress), California",0.35697,2008,"Anna Eshoo (Democratic), Ronny Santana (Republican), Brian Holtz (Libertarian), Carol Brouillet (Green)"
34,"Congressional District 15 (110th Congress), California",0.50555,2008,"Mike Honda (Democratic), Joyce Stoer Cordi (Republican), Peter Myers (Green)"
35,"Congressional District 16 (110th Congress), California",0.48589,2008,"Zoe Lofgren (Democratic), Charel Winston (Republican), Steven Wells (Libertarian)"
36,"Congressional District 17 (110th Congress), California",0.21969,2008,"Sam Farr (Democratic), Jeff Taylor (Republican), Peter Andresen (Write-In)"
37,"Congressional District 18 (110th Congress), California",0.35062,2008,Dennis Cardoza (Democratic)
38,"Congressional District 19 (110th Congress), California",0.22813,2008,"George Radanovich (Republican), Peter Leinau (Write-In), Phil Rockey (Write-In)"
39,"Congressional District 20 (110th Congress), California",0.42207,2008,"Jim Costa (Democratic), Jim Lopez (Republican)"
40,"Congressional District 21 (110th Congress), California",0.2741,2008,"Devin Nunes (Republican), Larry Johnson (Democratic)"
41,"Congressional District 22 (110th Congress), California",0.25687,2008,Kevin McCarthy (Republican)
42,"Congressional District 23 (110th Congress), California",0.32944,2008,"Lois Capps (Democratic), Matt Kokkonen (Republican)"
43,"Congressional District 24 (110th Congress), California",0.24934,2008,"Elton Gallegly (Republican), Marta Ann Jorgensen (Democratic)"
44,"Congressional District 25 (110th Congress), California",0.3289,2008,"Howard McKeon (Republican), Jackie Conaway (Democratic)"
45,"Congressional District 26 (110th Congress), California",0.39724,2008,"David Dreier (Republican), Russ Warner (Democratic), Ted Brown (Libertarian)"
46,"Congressional District 27 (110th Congress), California",0.45081,2008,"Brad Sherman (Democratic), Navraj Singh (Republican), Tim Denton (Libertarian)"
47,"Congressional District 28 (110th Congress), California",0.455,2008,"Howard Berman (Democratic), Michael J. Koch (Write-In)"
48,"Congressional District 29 (110th Congress), California",0.40713,2008,"Adam Schiff (Democratic), Charles Hahn (Republican), Alan Pyeatt (Libertarian)"
49,"Congressional District 30 (110th Congress), California",0.20772,2008,Henry Waxman (Democratic)
50,"Congressional District 31 (110th Congress), California",0.57151,2008,Xavier Becerra (Democratic)
51,"Congressional District 32 (110th Congress), California",0.58621,2008,Hilda Solis (Democratic)
52,"Congressional District 33 (110th Congress), California",0.67678,2008,"Diane Watson (Democratic), David Crowley (Republican)"
53,"Congressional District 34 (110th Congress), California",0.51366,2008,"Lucille Roybal-Allard (Democratic), Christopher Balding (Republican)"
54,"Congressional District 35 (110th Congress), California",0.59809,2008,"Maxine Waters (Democratic), Ted Hayes (Republican), Herb Peters (Libertarian)"
55,"Congressional District 36 (110th Congress), California",0.36873,2008,"Jane Harman (Democratic), Brian Gibson (Republican)"
56,"Congressional District 37 (110th Congress), California",0.63247,2008,"Laura Richardson (Democratic), Nick Dibs (Independent), Peter Mathews (Write-In), June Viena Pouesi (Write-In)"
57,"Congressional District 38 (110th Congress), California",0.3909,2008,"Grace Napolitano (Democratic), Christopher Agrella (Libertarian)"
58,"Congressional District 39 (110th Congress), California",0.51751,2008,"Linda Sánchez (Democratic), Diane Lenning (Republican)"
59,"Congressional District 40 (110th Congress), California",0.41668,2008,"Ed Royce (Republican), Christina Avalos (Democratic)"
60,"Congressional District 41 (110th Congress), California",0.26437,2008,"Jerry Lewis (Republican), Tim Prince (Democratic)"
61,"Congressional District 42 (110th Congress), California",0.35184,2008,"Gary Miller (Republican), Ed Chau (Democratic)"
62,"Congressional District 43 (110th Congress), California",0.50026,2008,"Joe Baca (Democratic), John Roberts (Republican)"
63,"Congressional District 44 (110th Congress), California",0.3389,2008,"Ken Calvert (Republican), Bill Hedrick (Democratic)"
64,"Congressional District 45 (110th Congress), California",0.33566,2008,"Mary Bono Mack (Republican), Julie Bornstein (Democratic)"
65,"Congressional District 46 (110th Congress), California",0.27602,2008,"Dana Rohrabacher (Republican), Debbie Cook (Democratic), Thomas Lash (Green), Ernst Gasteiger (Libertarian)"
66,"Congressional District 47 (110th Congress), California",0.55288,2008,"Loretta Sanchez (Democratic), Rosie Avila (Republican), Robert Lauten (American"
67,"Congressional District 48 (110th Congress), California",0.31458,2008,"John Campbell (Republican), Steve Young (Democratic), Don Patterson (Libertarian)"
68,"Congressional District 49 (110th Congress), California",0.32721,2008,"Darrell Issa (Republican), Robert Hamilton (Democratic), Lars Grossmith (Libertarian)"
69,"Congressional District 50 (110th Congress), California",0.23862,2008,"Brian Bilbray (Republican), Nick Leibham (Democratic), Wayne Dunlap (Libertarian)"
70,"Congressional District 51 (110th Congress), California",0.34688,2008,"Bob Filner (Democratic), David Lee Joy (Republican), Dan Litwin (Libertarian)"
71,"Congressional District 52 (110th Congress), California",0.20003,2008,"Duncan D. Hunter (Republican), Mike Lumpkin (Democratic), Michael Benoit (Libertarian)"
72,"Congressional District 53 (110th Congress), California",0.25753,2008,"Susan Davis (Democratic), Michael Crimmins (Republican), Edward Teyssier (Libertarian)"
73,"Congressional District 1 (110th Congress), Colorado",0.22243,2008,"Diana DeGette (Democratic), George Lilly (Republican), Martin Buchanan (Libertarian)"
74,"Congressional District 2 (110th Congress), Colorado",0.13303,2008,"Jared Polis (Democratic), Scott Starin (Republican), J.A. Calhoun (Green), Bill Hammons (Unity)"
75,"Congressional District 3 (110th Congress), Colorado",0.1196,2008,"John Salazar (Democratic), Wayne Wolf (Republican)"
76,"Congressional District 4 (110th Congress), Colorado",0.09771,2008,"Betsy Markey (Democratic), Marilyn Musgrave (Republican)"
77,"Congressional District 5 (110th Congress), Colorado",0.17098,2008,"Doug Lamborn (Republican), Hal Bidlack (Democratic), Brian Scott (Constitution)"
78,"Congressional District 6 (110th Congress), Colorado",0.11378,2008,"Mike Coffman (Republican), Hank Eng (Democratic)"
79,"Congressional District 7 (110th Congress), Colorado",0.22616,2008,"Ed Perlmutter (Democratic), John Lerew (Republican)"
80,"Congressional District 1 (110th Congress), Connecticut",0.27669,2008,"John Larson (Democratic), Joe Visconti (Republican), Stephen Fournier (Green)"
