Year,District,Name,Gender
2010,Alabama 1,Jo Bonner,female
2010,Alabama 1,David Walter,male
2010,Alabama 2,Martha Roby,female
2010,Alabama 2,Bobby Bright,male
2010,Alabama 3,Mike Rogers,male
2010,Alabama 3,Steve Segrest,male
2010,Alabama 4,Mo Brooks,male
2010,Alabama 4,Steve Raby,male
2010,Alabama 5,Terri Sewell,female
2010,Alabama 5,Don Chamberlain,male
2010,Alaska at-large1,Don Young,male
2010,Alaska at-large1,Harry Crawford,male
2010,Arizona 1,Paul Gosar,male
2010,Arizona 1,Ann Kirkpatrick,female
2010,Arizona 1,Nicole Patti,female
2010,Arizona 2,Trent Franks,male
2010,Arizona 2,John Thrasher,male
2010,Arizona 2,Powell Gammill,male
2010,Arizona 3,Ben Quayle,male
2010,Arizona 3,Jon Hulburd,male
2010,Arizona 3,Michael Shoen,male
2010,Arizona 3,Leonard Clark,male
2010,Arizona 4,Ed Pastor,male
2010,Arizona 4,Janet Contreras,female
2010,Arizona 4,Joe Cobb,male
2010,Arizona 4,Rebecca DeWitt,female
2010,Arizona 5,David Schweikert,male
2010,Arizona 5,Harry Mitchell,male
2010,Arizona 5,Nick Coons,male
2010,Arizona 6,Jeff Flake,male
2010,Arizona 6,Rebecca Schneider,female
2010,Arizona 6,Richard Grayson,male
2010,Arizona 6,Darell Tapp,male
2010,Arizona 7,Raul Grijalva,male
2010,Arizona 7,Ruth McClung,female
2010,Arizona 7,Harley Meyer,male
2010,Arizona 7,George Keane,male
2010,Arizona 8,Gabrielle Giffords,female
2010,Arizona 8,Jesse Kelly,male
2010,Arizona 8,Steven Stoltz,male
2010,Arkansas 1,Rick Crawford,male
2010,Arkansas 1,Chad Causey,male
2010,Arkansas 1,Ken Adler,male
2010,Arkansas 2,Tim Griffin,male
2010,Arkansas 2,Joyce Elliott,female
2010,Arkansas 2,Lance Levi,male
2010,Arkansas 2,Lewis Kennedy,male
2010,Arkansas 3,Steve Womack,male
2010,Arkansas 3,David Whitaker,male
2010,Arkansas 4,Mike Ross,male
2010,Arkansas 4,Beth Anne Rankin,female
2010,Arkansas 4,Joshua Drake,male
2010,California 1,Mike Thompson,male
2010,California 1,Loren Hanks,male
2010,California 1,Carol Wolman,female
2010,California 1,Mike Rodrigues,male
2010,California 2,Wally Herger,male
2010,California 2,Jim Reed,male
2010,California 2,Mark A. Jensen,male
2010,California 3,Dan Lungren,male
2010,California 3,Ami Bera,female
2010,California 3,Jerry Leidecker,male
2010,California 3,Douglas Arthur Tuma,male
2010,California 3,Mike Roskey,male
2010,California 4,Tom McClintock,male
2010,California 4,Clint Curtis,male
2010,California 4,Ben Emery,male
2010,California 5,Doris Matsui,female
2010,California 5,Paul Smith,male
2010,California 5,Gerald Allen Frink,male
2010,California 6,Lynn Woolsey,female
2010,California 6,Jim Judd,male
2010,California 6,Eugene Ruyle,male
2010,California 6,Joel Smolen,male
2010,California 7,George Miller,male
2010,California 7,Rick Tubbs,male
2010,California 8,Nancy Pelosi,female
2010,California 8,John Dennis,male
2010,California 8,Gloria La Riva,female
2010,California 8,Philip Berg,male
2010,California 8,Summer Shields,female
2010,California 9,Barbara Lee,female
2010,California 9,Gerald Hashimoto,male
2010,California 9,Dave Heller,male
