year,name,district,approval,same_as_president
2010,"Bonner, Jo",AL-01,0.41,False
2010,"Walter, David",AL-01,0.41,False
2010,"Roby, Martha",AL-02,0.41,False
2010,"Bright, Bobby",AL-02,0.41,True
2010,"Rogers, Mike",AL-03,0.41,False
2010,"Segrest, Steve",AL-03,0.41,True
2010,"Aderholt, Robert",AL-04,0.41,False
2010,"Brooks, Mo",AL-05,0.41,False
2010,"Raby, Steve",AL-05,0.41,True
2010,"Bachus, Spencer",AL-06,0.41,False
2010,"Sewell, Terri A.",AL-07,0.41,True
2010,"Chamberlain, Don",AL-07,0.41,False
2010,"Young, Don",AK-00,0.38,False
2010,"Crawford, Harry T., Jr.",AK-00,0.38,True
2010,"Gosar, Paul",AZ-01,0.43,False
2010,"Kirkpatrick, Ann",AZ-01,0.43,True
2010,"Patti, Nicole",AZ-01,0.43,False
2010,"Franks, Trent",AZ-02,0.43,False
2010,"Thrasher, John",AZ-02,0.43,True
2010,"Gammill, Powell",AZ-02,0.43,False
2010,"William, Crum",AZ-02,0.43,False
2010,"Rankin, Mark",AZ-02,0.43,False
2010,"Quayle, Ben",AZ-03,0.43,False
2010,"Hulburd, Jon",AZ-03,0.43,True
2010,"Shoen, Michael",AZ-03,0.43,False
2010,"Clark, Leonard",AZ-03,0.43,False
2010,"Pastor, Ed",AZ-04,0.43,True
2010,"Contreras, Janet",AZ-04,0.43,False
2010,"Cobb, Joe",AZ-04,0.43,False
2010,"Dewitt, Rebecca",AZ-04,0.43,False
2010,"Schweikert, David",AZ-05,0.43,False
2010,"Mitchell, Harry",AZ-05,0.43,True
2010,"Coons, Nick",AZ-05,0.43,False
2010,"Flake, Jeff",AZ-06,0.43,False
2010,"Schneider, Rebecca",AZ-06,0.43,True
2010,"Tapp, Darell",AZ-06,0.43,False
2010,"Grayson, Richard",AZ-06,0.43,False
2010,"Grijalva, Raúl M.",AZ-07,0.43,True
2010,"McClung, Ruth",AZ-07,0.43,False
2010,"Myer, Harley",AZ-07,0.43,False
2010,"Keane, George",AZ-07,0.43,False
2010,"Giffords, Gabrielle",AZ-08,0.43,True
2010,"Kelly, Jesse",AZ-08,0.43,False
2010,"Stoltz, Steven",AZ-08,0.43,False
2010,"Crawford, Rick",AR-01,0.4,False
2010,"Causey, Chad",AR-01,0.4,True
2010,"Adler, Ken",AR-01,0.4,False
2010,"Higgins, Mickey",AR-01,0.4,False
2010,"Griffin, Tim",AR-02,0.4,False
2010,"Elliott, Joyce",AR-02,0.4,True
2010,"Levi, Lance",AR-02,0.4,False
2010,"Kennedy, Lewis",AR-02,0.4,False
2010,"Suits, Danial",AR-02,0.4,False
2010,"Womack, Steve",AR-03,0.4,False
2010,"Whitaker, David",AR-03,0.4,True
2010,"Ross, Mike",AR-04,0.4,True
2010,"Rankin, Beth Anne",AR-04,0.4,False
2010,"Drake, Josh",AR-04,0.4,False
2010,"Thompson, Mike",CA-01,0.56,True
2010,"Hanks, Loren",CA-01,0.56,False
2010,"Wolman, Carol",CA-01,0.56,False
2010,"Rodrigues, Mike",CA-01,0.56,False
2010,"Herger, Wally",CA-02,0.56,False
2010,"Reed, Jim",CA-02,0.56,True
2010,"Jensen, Mark A.",CA-02,0.56,False
2010,"Lungren, Dan",CA-03,0.56,False
2010,"Bera, Ami",CA-03,0.56,True
2010,"Leidecker, Jerry L.",CA-03,0.56,False
2010,"Tuma, Douglas Arthur",CA-03,0.56,False
2010,"Roskey, Mike",CA-03,0.56,False
2010,"McClintock, Tom",CA-04,0.56,False
2010,"Curtis, Clint",CA-04,0.56,True
2010,"Emery, Benjamin ""Ben""",CA-04,0.56,False
2010,"Matsui, Doris",CA-05,0.56,True
2010,"Smith, Paul A.",CA-05,0.56,False
2010,"Frink, Gerald Allen",CA-05,0.56,False
2010,"Lacy, Tony",CA-05,0.56,False
2010,"Woolsey, Lynn C.",CA-06,0.56,True
2010,"Judd, Jim",CA-06,0.56,False
2010,"Ruyle, Eugene E.",CA-06,0.56,False
2010,"Smollen, Joel",CA-06,0.56,False
2010,"Miller, George",CA-07,0.56,True
2010,"Tubbs, Rick",CA-07,0.56,False
2010,"Pelosi, Nancy",CA-08,0.56,True
2010,"Dennis, John",CA-08,0.56,False
2010,"La Riva, Gloria E.",CA-08,0.56,False
2010,"Berg, Philip",CA-08,0.56,False
2010,"Shields, Summer",CA-08,0.56,False
2010,"Lee, Barbara",CA-09,0.56,True
2010,"Hashimoto, Gerald",CA-09,0.56,False
2010,"Heller, Dave",CA-09,0.56,False
2010,"Eyer, James",CA-09,0.56,False
2010,"Allen, Larry",CA-09,0.56,False
2010,"Garamendi, John",CA-10,0.56,True
2010,"Clift, Gary",CA-10,0.56,False
2010,"Cloward, Jeremy",CA-10,0.56,False
2010,"McNerney, Jerry",CA-11,0.56,True
2010,"Harmer, David",CA-11,0.56,False
2010,"Christensen, David",CA-11,0.56,False
2010,"Speier, Jackie",CA-12,0.56,True
2010,"Moloney, Mike",CA-12,0.56,False
2010,"Williams, Mark Paul",CA-12,0.56,False
2010,"Harding, Joseph Michael",CA-12,0.56,False
2010,"Stark, Fortney Pete",CA-13,0.56,True
2010,"Baker, Forest",CA-13,0.56,False
2010,"Pareja, Chris",CA-13,0.56,False
2010,"Eshoo, Anna G.",CA-14,0.56,True
2010,"Chapman, Dave",CA-14,0.56,False
2010,"Lazaga, Paul",CA-14,0.56,False
2010,"Honda, Mike",CA-15,0.56,True
2010,"Kirkland, Scott",CA-15,0.56,False
2010,"Lofgren, Zoe",CA-16,0.56,True
2010,"Sahagun, Daniel",CA-16,0.56,False
2010,"Gonzalez, Edward",CA-16,0.56,False
2010,"Farr, Sam",CA-17,0.56,True
2010,"Taylor, Jeff",CA-17,0.56,False
2010,"Petersen, Eric",CA-17,0.56,False
2010,"Larkin, Mary V.",CA-17,0.56,False
2010,"Kabat, Ronald P.",CA-17,0.56,False
2010,"Cardoza, Dennis",CA-18,0.56,True
2010,"Berryhill, Michael Clare, Sr.",CA-18,0.56,False
2010,"Denham, Jeff",CA-19,0.56,False
