,district,state_fips,year,rep_cand_oct,rep_cand_nov,dem_cand_oct,dem_cand_nov,dem_cand_name,rep_cand_name
0,3.0,1.0,2018.0,10.6875,23.25,15.3125,22.375,Mallory Hagan,Mike Rogers
1,51.0,6.0,2018.0,9.0,14.3125,13.4375,26.0,Juan Vargas,Juan Hidalgo
2,4.0,39.0,2018.0,34.75,60.5,19.9375,27.6875,Janet Garrett,Jim Jordan
3,11.0,37.0,2018.0,28.4375,36.875,17.25,24.0,Phillip Price,Mark Meadows
4,3.0,39.0,2018.0,9.8125,9.5,16.875,16.0,Joyce Beatty,Jim Burgess
5,1.0,29.0,2018.0,0.0,18.25,6.0625,12.4375,William Clay,Robert Vroman
6,24.0,36.0,2018.0,26.4375,33.25,36.6875,46.6875,Dana Balter,John Katko
7,9.0,34.0,2018.0,20.75,31.875,26.25,26.8125,Bill Pascrell,Eric Fisher
8,11.0,17.0,2018.0,10.9375,18.375,31.625,33.6875,Bill Foster,Nick Stella
9,1.0,40.0,2018.0,6.375,16.875,11.0,27.0625,Tim Gilpin,Kevin Hern
10,2.0,41.0,2018.0,25.5625,26.9375,17.6875,20.8125,Jamie McLeod-Skinner,Greg Walden
11,4.0,41.0,2018.0,0.0,0.0,10.9375,29.125,Peter DeFazio,Arthur Robinson
12,1.0,25.0,2018.0,0.0,0.0,20.0,16.25,Richard Neal,A4m$2dkW0*21&zpM
13,1.0,53.0,2018.0,8.5625,20.1875,16.1875,38.4375,Suzan DelBene,Jeffrey Beeler
14,11.0,13.0,2018.0,3.0625,34.4375,9.125,16.4375,Flynn Broady,Barry Loudermilk
15,0.0,10.0,2018.0,21.125,20.0,8.125,23.125,Lisa Rochester,Scott Walker
16,1.0,37.0,2018.0,3.0,21.75,2.9375,6.25,G.K. Butterfield,Roger Allison
17,4.0,32.0,2018.0,37.375,34.6875,32.6875,44.5625,Steven Horsford,Cresent Hardy
18,3.0,28.0,2018.0,6.0,9.3125,8.9375,16.25,Michael Evans,Michael Guest
19,4.0,17.0,2018.0,11.0625,17.25,24.375,20.5625,Jesus Garcia,Mark Lorch
20,20.0,36.0,2018.0,0.0,0.0,23.6875,38.3125,Paul Tonko,Francis Vitollo
21,11.0,12.0,2018.0,21.0625,44.625,5.75,18.25,Dana Cottrell,Daniel Webster
22,5.0,26.0,2018.0,0.0,22.8125,0.0,0.0,Daniel Kildee,Travis Wines
23,2.0,28.0,2018.0,0.0,0.0,25.0625,30.375,Bennie Thompson,A4m$2dkW0*21&zpM
24,32.0,6.0,2018.0,26.8125,22.0,32.0625,9.3125,Grace Napolitano,Joshua Scott
25,3.0,51.0,2018.0,0.0,0.0,29.75,32.75,Robert Scott,A4m$2dkW0*21&zpM
26,31.0,6.0,2018.0,28.125,31.0,28.625,29.375,Pete Aguilar,Sean Flynn
27,2.0,37.0,2018.0,35.75,39.125,54.625,55.6875,Linda Coleman,George Holding
28,13.0,12.0,2018.0,14.625,20.875,51.5,55.5625,Charlie Crist,George Buck
29,9.0,47.0,2018.0,0.0,15.5625,19.0625,13.9375,Steve Cohen,Charlotte Bergmann
30,35.0,48.0,2018.0,0.0,22.875,24.375,27.5,Lloyd Doggett,David Smalling
31,3.0,40.0,2018.0,6.875,18.5625,2.375,7.5,Frankie Robbins,Frank Lucas
32,25.0,12.0,2018.0,0.0,3.5,37.5,26.1875,Mary Flores,Mario Diaz-Balart
33,6.0,18.0,2018.0,20.5625,44.5,12.3125,14.1875,Jeannine Lake,Greg Pence
