,Unnamed: 0,district,state_fips,year,rep_cand_oct,rep_cand_nov,dem_cand_oct,dem_cand_nov
0,0.0,17.0,36.0,2012.0,8.9375,8.5,29.5,27.8125
1,1.0,2.0,36.0,2010.0,10.625,15.5625,23.3125,25.0
2,2.0,9.0,47.0,2016.0,0.0,0.0,12.0,0.0
3,3.0,9.0,34.0,2014.0,6.125,12.4375,0.0,0.0
4,4.0,1.0,45.0,2010.0,6.5,12.375,0.0,0.0
5,5.0,5.0,47.0,2010.0,14.5,21.75,6.8125,22.875
6,6.0,6.0,47.0,2016.0,23.9375,27.125,4.125,11.875
7,7.0,24.0,12.0,2010.0,3.125,7.25,25.6875,27.6875
8,8.0,2.0,29.0,2014.0,26.4375,32.125,2.375,6.0625
9,9.0,12.0,6.0,2014.0,24.1875,21.875,56.125,61.125
10,10.0,1.0,37.0,2010.0,23.625,5.625,0.0,0.0
11,11.0,22.0,6.0,2012.0,12.375,31.5625,27.0625,27.3125
12,12.0,9.0,34.0,2012.0,15.1875,29.75,0.0,0.0
13,13.0,8.0,55.0,2010.0,20.375,23.0625,0.0,0.0
14,14.0,2.0,6.0,2016.0,8.5,40.6875,31.1875,39.3125
15,15.0,9.0,53.0,2012.0,0.0,0.0,36.6875,39.4375
16,16.0,7.0,53.0,2014.0,3.0,34.75,0.0,0.0
17,17.0,13.0,36.0,2016.0,22.125,28.3125,10.9375,8.4375
18,18.0,1.0,23.0,2010.0,9.625,22.8125,12.4375,21.875
19,19.0,11.0,37.0,2014.0,17.0625,19.1875,36.0,42.75
20,20.0,5.0,34.0,2014.0,16.6875,34.375,24.0625,44.875
21,21.0,2.0,15.0,2010.0,0.0,0.0,6.25,29.875
22,22.0,2.0,49.0,2014.0,16.3125,28.6875,16.125,16.75
23,23.0,22.0,36.0,2016.0,31.1875,34.1875,43.25,43.875
24,24.0,6.0,22.0,2018.0,16.4,18.2,0.0,28.4
25,25.0,10.0,42.0,2012.0,0.0,6.25,0.0,0.0
26,26.0,6.0,51.0,2012.0,3.0625,0.0,9.375,16.25
27,27.0,13.0,13.0,2012.0,0.0,0.0,43.125,39.25
28,28.0,18.0,12.0,2010.0,3.1875,25.0625,0.0,0.0
29,29.0,21.0,36.0,2014.0,30.9375,18.0,16.625,13.5
30,30.0,23.0,48.0,2018.0,31.0,39.8,79.6,81.2
31,31.0,3.0,39.0,2010.0,9.9375,12.75,3.8125,8.125
32,32.0,2.0,36.0,2012.0,45.4375,38.625,0.0,0.9375
33,33.0,1.0,55.0,2016.0,30.6875,12.5625,1.0,0.75
34,34.0,17.0,36.0,2010.0,5.8125,0.0,6.25,0.0
35,35.0,13.0,17.0,2018.0,35.2,56.4,30.4,33.2
36,36.0,3.0,31.0,2014.0,7.375,12.1875,3.1875,19.5
37,37.0,36.0,6.0,2016.0,28.9375,50.25,22.25,33.5625
38,38.0,6.0,27.0,2014.0,22.875,39.1875,17.25,24.5625
