state,district,mu
Alaska,0,0.5443503938458468
Alabama,6,0.656253488862675
Alabama,5,0.5915170736718205
Alabama,4,0.6864985558638078
Alabama,3,0.6158193212301263
Alabama,2,0.5405041244074432
Alabama,1,0.5864338919586494
Arkansas,4,0.6172268016411608
Arkansas,3,0.60461182378127
Arkansas,2,0.5392475208795048
Arkansas,1,0.6236752633000016
Arizona,9,0.5153087380879562
Arizona,8,0.5364672324778521
Arizona,6,0.5582874251006938
Arizona,5,0.6084515024629569
Arizona,4,0.6438002542804592
Arizona,3,0.37350261706022353
Arizona,2,0.48204274339643793
Arizona,1,0.43366021842535785
California,9,0.38474350450628336
California,7,0.37906335902419375
California,53,0.34070589953212
California,52,0.2918749238503828
California,51,0.35704738128947183
California,50,0.5407571986458328
California,49,0.45829946378784076
California,48,0.4986175649563845
California,47,0.28457121590897544
California,46,0.3343596845914348
California,45,0.4858269948920575
California,43,0.19642086024525923
California,42,0.483894940345646
California,41,0.28346036414004727
California,4,0.5350405161673084
California,39,0.4339102508761286
California,38,0.28567042697407
California,37,0.21409774414435193
California,36,0.3301517691576697
California,35,0.2755099864543435
California,33,0.2945208668793805
California,32,0.23541078942005722
California,31,0.4115476004583474
California,30,0.2940454763970345
California,3,0.41660023253705014
California,29,0.430056832066865
California,28,0.283658455996338
California,26,0.4014206439989947
California,25,0.4899416889334863
California,24,0.4436405689419461
California,23,0.5740838880757797
California,22,0.5510386072030828
California,21,0.5892149337559816
California,2,0.35944291922759436
California,19,0.22295840030944516
California,18,0.2301603496929859
California,17,0.2187289920167801
California,16,0.39405440566467365
California,15,0.21763828527040255
California,14,0.19239282689667975
California,12,0.18921701650262987
California,11,0.32280674376665247
California,10,0.4834109559153482
California,1,0.6078031638823675
Colorado,7,0.4300251878562099
Colorado,6,0.46061288333198613
Colorado,5,0.5347616470088349
Colorado,4,0.5600385805567417
Colorado,3,0.5323119165904298
Colorado,2,0.5225424110260766
Colorado,1,0.3280579841756472
Connecticut,5,0.4353611308255421
Connecticut,4,0.35419561976107583
Connecticut,3,0.31260065174877194
Connecticut,2,0.4094426238140254
Connecticut,1,0.2684408513810434
Delaware,0,0.3662505004289258
Florida,9,0.39281452924580035
Florida,8,0.5419855684592096
Florida,7,0.40149983166108516
Florida,6,0.5296757906180108
Florida,5,0.27261762957696895
Florida,4,0.5597557346922489
Florida,3,0.5456252070865034
Florida,27,0.4892275474267672
Florida,26,0.505849559399061
Florida,25,0.5342587918660324
Florida,23,0.3817567486338444
Florida,22,0.34866890170400555
Florida,2,0.5708702535174266
Florida,19,0.6085922794493807
Florida,18,0.5441671092815897
Florida,17,0.5268619060119126
Florida,16,0.5381708710788238
