state,district,mu
Alaska,0,0.5145665997749245
Alabama,6,0.6627999334249789
Alabama,5,0.6050749319053904
Alabama,4,0.6558581298333108
Alabama,3,0.5818111958449076
Alabama,2,0.557786530991978
Alabama,1,0.5793284722407823
Arkansas,4,0.6383754003980182
Arkansas,3,0.6191820467474872
Arkansas,2,0.547643132720789
Arkansas,1,0.6683656481791339
Arizona,9,0.5062501179236332
Arizona,8,0.541593514021027
Arizona,6,0.5712237204674392
Arizona,5,0.6016924275708999
Arizona,4,0.6586199653715095
Arizona,3,0.39022662467515123
Arizona,2,0.4388173523686959
Arizona,1,0.4987314135766132
California,9,0.33690872574826
California,7,0.42788697461426384
California,53,0.3266911496296698
California,52,0.29585368174213567
California,51,0.3838030600933923
California,50,0.5136189717397358
California,49,0.43419364173172437
California,48,0.505265456185873
California,47,0.29179237481610365
California,46,0.36516487581041385
California,45,0.493110505085114
California,43,0.1817948163351845
California,42,0.5130381737070787
California,41,0.29083948362617035
California,4,0.5301406404645677
California,39,0.46724463025051755
California,38,0.278490120166284
California,37,0.18957100098489368
California,36,0.37619420405976234
California,35,0.2839877002236735
California,33,0.2776644031135644
California,32,0.2638848590743789
California,31,0.35261472500627766
California,30,0.32974668454059985
California,3,0.37149913922640676
California,29,0.3533195480434131
California,28,0.29178687864003305
California,26,0.44905778828892273
California,25,0.5084661783242227
California,24,0.4775246193888604
California,23,0.546121070846066
California,22,0.5415751184998383
California,21,0.5585265633108738
California,2,0.3677610905144148
California,19,0.25276745736774797
California,18,0.26183208589782897
California,17,0.13508237855134594
California,16,0.41924809916661565
California,15,0.23594915549502238
California,14,0.21070316670437625
California,12,0.18766579797874064
California,11,0.32812257656937277
California,10,0.4725056181670321
California,1,0.5606447340324859
Colorado,7,0.44839818696174194
Colorado,6,0.45776974745166094
Colorado,5,0.5262757947725452
Colorado,4,0.5847689379281871
Colorado,3,0.5548530996744534
Colorado,2,0.5031642347134971
Colorado,1,0.33105375413450605
Connecticut,5,0.4426482519082912
Connecticut,4,0.35803523762461137
Connecticut,3,0.3251030690846421
Connecticut,2,0.4296249873934664
Connecticut,1,0.2975913478988729
Delaware,0,0.3654090041036629
Florida,9,0.44595255219099356
Florida,8,0.5537688615804022
Florida,7,0.4718460789247289
Florida,6,0.5152794455689139
Florida,5,0.2830135182967222
Florida,4,0.5531415495670519
Florida,3,0.528812629624479
Florida,27,0.485978431626886
Florida,26,0.49713587148913463
Florida,25,0.5380503968876237
Florida,23,0.3703583551079101
Florida,22,0.3851997528226379
Florida,2,0.5577831891631269
Florida,19,0.5510232177543575
Florida,18,0.5599413708604664
Florida,17,0.5478629352046633
Florida,16,0.545625774385969
Florida,15,0.5024596427042983
Florida,13,0.4135124463578439
Florida,12,0.6111857453303282
Florida,11,0.5815303444917856
Florida,1,0.5475826855677202
Georgia,9,0.6798752714218644
Georgia,7,0.5430602306515354
Georgia,6,0.4792080374505199
Georgia,4,0.26745935927877884
Georgia,3,0.6119616989205849
Georgia,2,0.352776913554038
Georgia,14,0.6811699035956716
Georgia,13,0.26598650471362145
Georgia,12,0.5851238524674862
Georgia,11,0.5936369051518564
Georgia,10,0.6146012943100363
Georgia,1,0.5828945387622493
Hawaii,2,0.29805937804038557
Hawaii,1,0.21720989341038768
Iowa,4,0.5460892176851446
Iowa,3,0.5004895656874595
Iowa,2,0.4533595879013336
Iowa,1,0.48871967521117377
Idaho,2,0.6561585284568323
Idaho,1,0.5962490238882678
Illinois,9,0.3152705506364792
Illinois,8,0.33105002401772377
Illinois,7,0.1440040692652865
Illinois,6,0.4821685273307556
Illinois,5,0.37111286671351845
Illinois,4,0.3883010635693946
Illinois,3,0.4304198983870126
Illinois,2,0.18851510424553666
Illinois,18,0.5835634259888135
Illinois,17,0.4189456529846999
Illinois,16,0.5789294182641709
Illinois,15,0.599492289245369
Illinois,14,0.4936301434087009
Illinois,13,0.5328490153065466
Illinois,12,0.5503738433221889
Illinois,11,0.3356668886373174
Illinois,10,0.37398286187090735
Illinois,1,0.20612228262948526
Indiana,9,0.5552318053654823
Indiana,8,0.5930058811118543
Indiana,7,0.3507274638369658
Indiana,6,0.599042660342939
Indiana,5,0.5414109549609925
Indiana,4,0.5671815358158404
Indiana,3,0.604330316023082
Indiana,2,0.5889887177864029
Indiana,1,0.44470082892053114
Kansas,4,0.5952494016289276
Kansas,3,0.4576804360678926
Kansas,2,0.5102940085789093
Kansas,1,0.6076365570070862
Kentucky,6,0.5345019101156092
Kentucky,5,0.6355546384502327
Kentucky,4,0.6494902286156461
Kentucky,3,0.4195831528411492
Kentucky,2,0.6186927317866062
Kentucky,1,0.6048282830593864
Louisiana,6,0.6184373967878987
Louisiana,5,0.6229953402674191
Louisiana,4,0.6037429149338372
Louisiana,3,0.7000903336854912
Louisiana,1,0.6976276619733148
Massachusetts,9,0.4313329606360186
Massachusetts,6,0.35067954926357264
Massachusetts,5,0.25944401992864397
Massachusetts,3,0.4568325198217017
Massachusetts,2,0.38478663950812525
Maryland,8,0.3494825690579517
Maryland,7,0.2028468843273284
Maryland,6,0.4524356485233903
Maryland,5,0.31002896248942047
Maryland,4,0.19625496512478197
Maryland,3,0.33806023015028963
Maryland,2,0.3662785201845991
Maryland,1,0.5651175486803253
Maine,2,0.49781747735042364
Maine,1,0.363107466320826
Michigan,9,0.49184565842975153
Michigan,8,0.4809283047570705
Michigan,7,0.5466723281090686
Michigan,6,0.5099420072699294
Michigan,5,0.4336854103812623
Michigan,4,0.6226066583036636
Michigan,3,0.577923553188437
Michigan,2,0.5755901633252614
Michigan,14,0.1494947666200846
Michigan,12,0.39389491107495017
Michigan,11,0.47296071209149393
Michigan,10,0.6370329396305285
Michigan,1,0.5694423434256604
Minnesota,8,0.5585335215767213
Minnesota,7,0.4192690776341024
Minnesota,6,0.5794916948547457
Minnesota,5,0.40830026613038534
Minnesota,4,0.3155533015314295
Minnesota,3,0.45424974952403757
Minnesota,2,0.4873466857758018
Minnesota,1,0.5420620646125502
Missouri,8,0.6452254518829368
Missouri,7,0.6335197712528268
Missouri,6,0.6294569042628416
Missouri,5,0.390717036546241
Missouri,4,0.6185014168912694
Missouri,3,0.6677778218478374
Missouri,2,0.5605505515834934
Missouri,1,0.2593853958767855
Mississippi,4,0.6228007670966778
Mississippi,3,0.6086758847497271
Mississippi,1,0.651911604115718
Montana,0,0.5412497769166623
North Carolina,9,0.486481243818187
North Carolina,8,0.5247236568154077
North Carolina,7,0.4991215792411654
North Carolina,6,0.5372165265840542
North Carolina,5,0.5864419431509906
North Carolina,4,0.3010493368635141
North Carolina,2,0.5168715524778863
North Carolina,13,0.5168141589163351
North Carolina,12,0.28404257237500624
North Carolina,11,0.6108227776220627
North Carolina,10,0.5674371588488297
North Carolina,1,0.307287655359708
North Dakota,0,0.6142498309829046
Nebraska,3,0.6166846432547015
Nebraska,2,0.540187588022032
Nebraska,1,0.6049596042887995
New Hampshire,2,0.4335043081450775
New Hampshire,1,0.5034100430416755
New Jersey,9,0.32137279742398783
New Jersey,8,0.2851540471728279
New Jersey,7,0.48781485682441067
New Jersey,6,0.3041768445198358
New Jersey,5,0.45170685732254257
New Jersey,4,0.5856546040775984
New Jersey,3,0.48789467283065796
New Jersey,2,0.4036169200064974
New Jersey,12,0.2825136922114442
New Jersey,11,0.45029597719844083
New Jersey,10,0.11066592748941231
New Jersey,1,0.37456069863780794
New Mexico,3,0.3716296343151343
New Mexico,2,0.5162487205899606
New Mexico,1,0.4457268930183104
Nevada,4,0.49604583629285237
Nevada,3,0.46871150740180767
Nevada,2,0.5949635545225167
Nevada,1,0.3223556775882081
New York,9,0.13509685745748157
New York,4,0.3261817731031248
New York,3,0.3661040448638184
