percent_bachelor_or_above,name,state_fips,district,year,congress_session
17.3,"Congressional District 1 (111th Congress), Nevada",32,01,2010,111th Congress
22.2,"Congressional District 2 (111th Congress), Nevada",32,02,2010,111th Congress
25.0,"Congressional District 3 (111th Congress), Nevada",32,03,2010,111th Congress
32.9,"Congressional District 1 (111th Congress), New Hampshire",33,01,2010,111th Congress
32.8,"Congressional District 2 (111th Congress), New Hampshire",33,02,2010,111th Congress
25.0,"Congressional District 1 (111th Congress), New Jersey",34,01,2010,111th Congress
21.9,"Congressional District 2 (111th Congress), New Jersey",34,02,2010,111th Congress
31.9,"Congressional District 3 (111th Congress), New Jersey",34,03,2010,111th Congress
29.6,"Congressional District 4 (111th Congress), New Jersey",34,04,2010,111th Congress
43.3,"Congressional District 5 (111th Congress), New Jersey",34,05,2010,111th Congress
34.3,"Congressional District 6 (111th Congress), New Jersey",34,06,2010,111th Congress
45.9,"Congressional District 7 (111th Congress), New Jersey",34,07,2010,111th Congress
32.7,"Congressional District 8 (111th Congress), New Jersey",34,08,2010,111th Congress
36.2,"Congressional District 9 (111th Congress), New Jersey",34,09,2010,111th Congress
21.9,"Congressional District 10 (111th Congress), New Jersey",34,10,2010,111th Congress
49.5,"Congressional District 11 (111th Congress), New Jersey",34,11,2010,111th Congress
47.7,"Congressional District 12 (111th Congress), New Jersey",34,12,2010,111th Congress
28.0,"Congressional District 13 (111th Congress), New Jersey",34,13,2010,111th Congress
30.6,"Congressional District 1 (111th Congress), New Mexico",35,01,2010,111th Congress
19.1,"Congressional District 2 (111th Congress), New Mexico",35,02,2010,111th Congress
26.1,"Congressional District 3 (111th Congress), New Mexico",35,03,2010,111th Congress
32.7,"Congressional District 1 (111th Congress), New York",36,01,2010,111th Congress
34.1,"Congressional District 2 (111th Congress), New York",36,02,2010,111th Congress
36.9,"Congressional District 3 (111th Congress), New York",36,03,2010,111th Congress
36.1,"Congressional District 4 (111th Congress), New York",36,04,2010,111th Congress
37.4,"Congressional District 5 (111th Congress), New York",36,05,2010,111th Congress
22.5,"Congressional District 6 (111th Congress), New York",36,06,2010,111th Congress
23.6,"Congressional District 7 (111th Congress), New York",36,07,2010,111th Congress
54.2,"Congressional District 8 (111th Congress), New York",36,08,2010,111th Congress
37.5,"Congressional District 9 (111th Congress), New York",36,09,2010,111th Congress
24.4,"Congressional District 10 (111th Congress), New York",36,10,2010,111th Congress
32.6,"Congressional District 11 (111th Congress), New York",36,11,2010,111th Congress
26.8,"Congressional District 12 (111th Congress), New York",36,12,2010,111th Congress
28.4,"Congressional District 13 (111th Congress), New York",36,13,2010,111th Congress
64.6,"Congressional District 14 (111th Congress), New York",36,14,2010,111th Congress
35.0,"Congressional District 15 (111th Congress), New York",36,15,2010,111th Congress
10.6,"Congressional District 16 (111th Congress), New York",36,16,2010,111th Congress
31.6,"Congressional District 17 (111th Congress), New York",36,17,2010,111th Congress
48.1,"Congressional District 18 (111th Congress), New York",36,18,2010,111th Congress
36.4,"Congressional District 19 (111th Congress), New York",36,19,2010,111th Congress
28.7,"Congressional District 20 (111th Congress), New York",36,20,2010,111th Congress
30.3,"Congressional District 21 (111th Congress), New York",36,21,2010,111th Congress
27.3,"Congressional District 22 (111th Congress), New York",36,22,2010,111th Congress
19.0,"Congressional District 23 (111th Congress), New York",36,23,2010,111th Congress
22.5,"Congressional District 24 (111th Congress), New York",36,24,2010,111th Congress
31.4,"Congressional District 25 (111th Congress), New York",36,25,2010,111th Congress
29.4,"Congressional District 26 (111th Congress), New York",36,26,2010,111th Congress
23.8,"Congressional District 27 (111th Congress), New York",36,27,2010,111th Congress
24.6,"Congressional District 28 (111th Congress), New York",36,28,2010,111th Congress
29.7,"Congressional District 29 (111th Congress), New York",36,29,2010,111th Congress
13.0,"Congressional District 1 (111th Congress), North Carolina",37,01,2010,111th Congress
18.6,"Congressional District 2 (111th Congress), North Carolina",37,02,2010,111th Congress
22.8,"Congressional District 3 (111th Congress), North Carolina",37,03,2010,111th Congress
52.4,"Congressional District 4 (111th Congress), North Carolina",37,04,2010,111th Congress
22.9,"Congressional District 5 (111th Congress), North Carolina",37,05,2010,111th Congress
25.6,"Congressional District 6 (111th Congress), North Carolina",37,06,2010,111th Congress
21.7,"Congressional District 7 (111th Congress), North Carolina",37,07,2010,111th Congress
19.7,"Congressional District 8 (111th Congress), North Carolina",37,08,2010,111th Congress
39.6,"Congressional District 9 (111th Congress), North Carolina",37,09,2010,111th Congress
17.4,"Congressional District 10 (111th Congress), North Carolina",37,10,2010,111th Congress
24.8,"Congressional District 11 (111th Congress), North Carolina",37,11,2010,111th Congress
23.5,"Congressional District 12 (111th Congress), North Carolina",37,12,2010,111th Congress
30.2,"Congressional District 13 (111th Congress), North Carolina",37,13,2010,111th Congress
26.3,"Congressional District (at Large) (111th Congress), North Dakota",38,00,2010,111th Congress
24.3,"Congressional District 1 (111th Congress), Ohio",39,01,2010,111th Congress
33.2,"Congressional District 2 (111th Congress), Ohio",39,02,2010,111th Congress
25.6,"Congressional District 3 (111th Congress), Ohio",39,03,2010,111th Congress
15.7,"Congressional District 4 (111th Congress), Ohio",39,04,2010,111th Congress
17.0,"Congressional District 5 (111th Congress), Ohio",39,05,2010,111th Congress
16.6,"Congressional District 6 (111th Congress), Ohio",39,06,2010,111th Congress
21.3,"Congressional District 7 (111th Congress), Ohio",39,07,2010,111th Congress
21.0,"Congressional District 8 (111th Congress), Ohio",39,08,2010,111th Congress
21.7,"Congressional District 9 (111th Congress), Ohio",39,09,2010,111th Congress
25.5,"Congressional District 10 (111th Congress), Ohio",39,10,2010,111th Congress
26.4,"Congressional District 11 (111th Congress), Ohio",39,11,2010,111th Congress
37.8,"Congressional District 12 (111th Congress), Ohio",39,12,2010,111th Congress
26.7,"Congressional District 13 (111th Congress), Ohio",39,13,2010,111th Congress
30.4,"Congressional District 14 (111th Congress), Ohio",39,14,2010,111th Congress
35.1,"Congressional District 15 (111th Congress), Ohio",39,15,2010,111th Congress
22.2,"Congressional District 16 (111th Congress), Ohio",39,16,2010,111th Congress
18.6,"Congressional District 17 (111th Congress), Ohio",39,17,2010,111th Congress
13.2,"Congressional District 18 (111th Congress), Ohio",39,18,2010,111th Congress
27.7,"Congressional District 1 (111th Congress), Oklahoma",40,01,2010,111th Congress
15.0,"Congressional District 2 (111th Congress), Oklahoma",40,02,2010,111th Congress
20.5,"Congressional District 3 (111th Congress), Oklahoma",40,03,2010,111th Congress
22.6,"Congressional District 4 (111th Congress), Oklahoma",40,04,2010,111th Congress
27.2,"Congressional District 5 (111th Congress), Oklahoma",40,05,2010,111th Congress
37.5,"Congressional District 1 (111th Congress), Oregon",41,01,2010,111th Congress
21.6,"Congressional District 2 (111th Congress), Oregon",41,02,2010,111th Congress
31.2,"Congressional District 3 (111th Congress), Oregon",41,03,2010,111th Congress
23.6,"Congressional District 4 (111th Congress), Oregon",41,04,2010,111th Congress
29.1,"Congressional District 5 (111th Congress), Oregon",41,05,2010,111th Congress
17.6,"Congressional District 1 (111th Congress), Pennsylvania",42,01,2010,111th Congress
30.1,"Congressional District 2 (111th Congress), Pennsylvania",42,02,2010,111th Congress
20.5,"Congressional District 1 (111th Congress), Alabama",01,01,2010,111th Congress
