,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,percent_bachelor_or_above
0,"COX, JOHN R.",AK,0.0,REP,2010,27.0
1,"CRAWFORD, HARRY T JR",AK,0.0,DEM,2010,27.0
2,"FISHER, SHELDON ALLRED",AK,0.0,REP,2010,27.0
3,"YOUNG, DONALD E",AK,0.0,REP,2010,27.0
4,"BONNER, JO",AL,1.0,REP,2010,20.5
5,"GOUNARES, PETER HUNTER",AL,1.0,REP,2010,20.5
6,"WALTER, DAVID MARSH",AL,1.0,CON,2010,20.5
7,"BRIGHT SR, BOBBY NEAL",AL,2.0,DEM,2010,19.3
8,"BARBER, RICK JOE",AL,2.0,REP,2010,19.3
9,"JOHN, ROBERT E JR",AL,2.0,IND,2010,19.3
10,"MCKINNEY, JOHN",AL,2.0,REP,2010,19.3
11,"ROBY, MARTHA",AL,2.0,REP,2010,19.3
12,"BELL, STEPHANIE WOLFE",AL,2.0,REP,2010,19.3
13,"SEGREST, STEPHEN GRAHAM",AL,3.0,DEM,2010,19.5
14,"LAYFIELD, MARK",AL,3.0,IND,2010,19.5
15,"SEGALL, JOSHUA STEVEN",AL,3.0,DEM,2010,19.5
16,"ROGERS, MICHAEL",AL,3.0,REP,2010,19.5
17,"ADERHOLT, ROBERT BROWN",AL,4.0,REP,2010,13.1
18,"SHEPARD, TAZEWELL",AL,5.0,DEM,2010,26.7
19,"RABY, STEPHEN WALKER",AL,5.0,DEM,2010,26.7
20,"MAKER, DAVID JOEL",AL,5.0,DEM,2010,26.7
21,"PHILLIP, LESTER S",AL,5.0,REP,2010,26.7
22,"HOWIE, MITCHELL JOHN",AL,5.0,DEM,2010,26.7
23,"BROOKS, MO",AL,5.0,REP,2010,26.7
24,"GRIFFITH, PARKER REP.",AL,5.0,REP,2010,26.7
25,"LAMBERT, PAUL ANTHONY",AL,6.0,REP,2010,33.6
26,"BACHUS, SPENCER T.",AL,6.0,REP,2010,33.6
27,"COOKE, STANLEY KYLE",AL,6.0,REP,2010,33.6
28,"MOKOLO, PATRICIA EVANS",AL,7.0,DEM,2010,17.1
29,"CHAMBERLAIN, DONALD NORWOOD",AL,7.0,REP,2010,17.1
30,"BOZEMAN, MARTHA RENEE",AL,7.0,UNK,2010,17.1
31,"WALLER, MICHELE",AL,7.0,REP,2010,17.1
32,"SEWELL, TERRI A.",AL,7.0,DEM,2010,17.1
33,"WALTERS, EDDISON T",AL,7.0,DEM,2010,17.1
34,"PERKINS, JAMES JR",AL,7.0,DEM,2010,17.1
35,"SMOOT, SHEILA",AL,7.0,DEM,2010,17.1
36,"SALTER, CHRIS",AL,7.0,REP,2010,17.1
37,"LANKSTER, FRANK",AL,7.0,DEM,2010,17.1
38,"HILLIARD, EARL FREDERICK JR",AL,7.0,DEM,2010,17.1
39,"HENDRICKSON, CAROL FLORRIE",AL,7.0,REP,2010,17.1
40,"ADLER, KEN",AR,1.0,GRE,2010,13.7
