state,raceyear,area,areanumber,redistricteddate,repvotes,repcandidate,repstatus,demvotes,demcandidate,demstatus,thirdparty,thirdvotes,thirdcandidate,thirdstatus,othervotes,pluralityvotes,pluralityparty,thirdvotestotalpercent,repvotesmajorpercent,demvotesmajorpercent,racenotes,rep_unopposed,dem_unopposed
Alabama,2016.0,District 1,1.0,2012-01-01,208083.0,"Byrne, Bradley",Incumbent,,,,Write-in,7810.0,Write-In,Challenger,,200273.0,R,3.62,100.0,0.0,,,
Alabama,2016.0,District 2,2.0,2012-01-01,134886.0,"Roby, Martha",Incumbent,112089.0,"Mathis, Nathan",Challenger,Write-in,29609.0,Write-In,Challenger,,22797.0,R,10.71,54.62,45.38,,,
Alabama,2016.0,District 3,3.0,2012-01-01,192164.0,"Rogers, Mike D.",Incumbent,94549.0,"Smith, Jesse Tremain",Challenger,Write-in,391.0,Write-In,Challenger,,97615.0,R,0.14,67.02,32.98,,,
Alabama,2016.0,District 4,4.0,2012-01-01,235925.0,"Aderholt, Robert",Incumbent,,,,Write-in,3519.0,Write-In,Challenger,,232406.0,R,1.47,100.0,0.0,,,
Alabama,2016.0,District 5,5.0,2012-01-01,205647.0,"Brooks, Mo",Incumbent,102234.0,"Boyd, Will",Challenger,Write-in,445.0,Write-In,Challenger,,103413.0,R,0.14,66.79,33.21,,,
Alabama,2016.0,District 6,6.0,2012-01-01,245313.0,"Palmer, Gary",Incumbent,83709.0,"Putman, David",Challenger,Write-in,284.0,Write-In,Challenger,,161604.0,R,0.09,74.56,25.44,,,
Alabama,2016.0,District 7,7.0,2012-01-01,,,,229330.0,"Sewell, Terri A.",Incumbent,Write-in,3698.0,Write-In,Challenger,,225632.0,D,1.59,0.0,100.0,,,
Alabama,2014.0,District 1,1.0,2012-01-01,103758.0,"Byrne, Bradley",Incumbent,48278.0,"LeFlore, Burton R.",Challenger,Write-in,198.0,Write-In,Challenger,,55480.0,R,0.13,68.25,31.75,,,
Alabama,2014.0,District 2,2.0,2012-01-01,113103.0,"Roby, Martha",Incumbent,54692.0,"Wright, Erick",Challenger,Write-in,157.0,Write-In,Challenger,,58411.0,R,0.09,67.41,32.59,,,
Alabama,2014.0,District 3,3.0,2012-01-01,103558.0,"Rogers, Mike D.",Incumbent,52816.0,"Smith, Jesse Tremain",Challenger,Write-in,246.0,Write-In,Challenger,,50742.0,R,0.16,66.22,33.78,,,
Alabama,2014.0,District 4,4.0,2012-01-01,132831.0,"Aderholt, Robert",Incumbent,,,,Write-in,1921.0,Write-In,Challenger,,130910.0,R,1.43,100.0,0.0,,,
Alabama,2014.0,District 5,5.0,2012-01-01,115338.0,"Brooks, Mo",Incumbent,,,,Unaffiliated,39005.0,"Bray, Mark",Challenger,631.0,76333.0,R,25.17,100.0,0.0,The other vote was: Write-In (Write-in) 631,,
Alabama,2014.0,District 6,6.0,2012-01-01,135945.0,"Palmer, Gary",Challenger,42291.0,"Lester, Mark",Challenger,Write-in,213.0,Write-In,Challenger,,93654.0,R,0.12,76.27,23.73,,,
Alabama,2014.0,District 7,7.0,2012-01-01,,,,133687.0,"Sewell, Terri A.",Incumbent,Write-in,2212.0,Write-In,Challenger,,131475.0,D,1.63,0.0,100.0,,,
Alabama,2012.0,District 1,1.0,2012-01-01,196374.0,"Bonner, Josiah Robbins Jr.",Incumbent,,,,Write-in,4302.0,Scattered Write-In,Challenger,,192072.0,R,2.14,100.0,0.0,,,
Alabama,2012.0,District 2,2.0,2012-01-01,180591.0,"Roby, Martha",Incumbent,103092.0,"Ford, Therese",Challenger,Write-in,270.0,Scattered Write-In,Challenger,,77499.0,R,0.1,63.66,36.34,,,
Alabama,2012.0,District 3,3.0,2012-01-01,175306.0,"Rogers, Mike D.",Incumbent,98141.0,"Harris, John Andrew",Challenger,Write-in,483.0,Scattered Write-In,Challenger,,77165.0,R,0.18,64.11,35.89,,,
Alabama,2012.0,District 4,4.0,2012-01-01,199071.0,"Aderholt, Robert",Incumbent,69706.0,"Boman, Daniel H.",Challenger,Write-in,341.0,Scattered Write-In,Challenger,,129365.0,R,0.13,74.07,25.93,,,
Alabama,2012.0,District 5,5.0,2012-01-01,189185.0,"Brooks, Mo",Incumbent,101772.0,"Holley, Charlie L.",Challenger,Write-in,336.0,Scattered Write-In,Challenger,,87413.0,R,0.12,65.02,34.98,,,
Alabama,2012.0,District 6,6.0,2012-01-01,219262.0,"Bachus, Spencer",Incumbent,88267.0,"Bailey, Penny",Challenger,Write-in,573.0,Scattered Write-In,Challenger,,130995.0,R,0.19,71.3,28.7,,,
Alabama,2012.0,District 7,7.0,2012-01-01,73835.0,"Chamberlain, Don",Challenger,232520.0,"Sewell, Terri A.",Incumbent,Write-in,203.0,Scattered Write-In,Challenger,,158685.0,D,0.07,24.1,75.9,,,
Alabama,2010.0,District 1,1.0,2002-01-01,129063.0,"Bonner, Josiah Robbins Jr.",Incumbent,,,,,,,,27218.0,129063.0,R,0.0,100.0,0.0,,,
Alabama,2010.0,District 2,2.0,2002-01-01,111645.0,"Roby, Martha",Challenger,106865.0,"Bright, Bobby",Incumbent,,,,,518.0,4780.0,R,0.0,51.09,48.91,,,
Alabama,2010.0,District 3,3.0,2002-01-01,117736.0,"Rogers, Mike D.",Incumbent,80204.0,"Segrest, Steve",Challenger,,,,,199.0,37532.0,R,0.0,59.48,40.52,,,
