,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
0,Alabama,2,"Roby, Martha","Mathis, Nathan",0.5462,True,False,1,0.36979,0.4,False,True,10.646257883569398,2016,0.41904415899999997,,False,1.0,1.0,68.1
1,California,42,"Calvert, Ken","Sheridan, Tim",0.5882000000000001,True,False,6,0.38404,0.6,False,True,11.245098306029378,2016,0.61783541,,,0.6748999999999999,0.15810000000000002,72.7
2,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
3,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
4,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
5,Louisiana,6,"Graves, Garret","Lieberman, Richard",0.8078,True,False,22,0.30164,0.43,False,True,10.989858554781884,2016,0.43719178799999997,,,,,69.9
6,California,53,"Veltmeyer, James","Davis, Susan A.",0.3299,False,True,6,0.35176999999999997,0.6,False,True,,2016,0.526027235,,,0.20670000000000002,0.5626,69.6
7,California,52,"Gitsham, Denise","Peters, Scott",0.4347,False,True,6,0.3044,0.6,False,True,11.417009101473688,2016,0.526027235,,,0.35259999999999997,0.4229,68.0
8,California,51,"Hidalgo, Juan M. Jr.","Vargas, Juan",0.2725,False,True,6,0.33433,0.6,False,True,10.750192379971189,2016,0.529504795,,,0.313,0.6834,68.3
9,California,50,"Hunter, Duncan L.","Malloy, Patrick",0.6345000000000001,False,False,6,0.2473,0.6,False,True,11.180134444351488,2016,0.526027235,,,0.7043,0.2434,69.4
10,California,49,"Issa, Darrell","Applegate, Doug",0.5025999999999999,True,False,6,0.18487,0.6,False,True,11.300684761018298,2016,0.5150822270000001,,,0.6187,0.2839,68.3
11,California,48,"Rohrabacher, Dana","Savary, Sue",0.5832,True,False,6,0.30367,0.6,False,True,11.395301166714397,2016,0.45768618,,,0.5608,0.19510000000000002,68.5
12,California,47,"Whallon, Andy","Lowenthal, Alan",0.3628,False,True,6,0.47436000000000006,0.6,False,True,11.089041771338046,2016,0.45768618,,,0.4291,0.5708,68.02381
13,California,45,"Walters, Mimi","Varasteh, Ron",0.5856,True,False,6,0.3714,0.6,False,True,11.486129642183066,2016,0.497860656,,,0.4506,0.2811,66.9
14,California,43,"Navarro, Omar","Waters, Maxine",0.23920000000000002,False,True,6,0.66198,0.6,False,True,10.908045539121915,2016,0.5276473,,,0.3275,0.6723,74.0
15,California,41,"Shepherd, Doug","Takano, Mark A.",0.3505,False,True,6,0.54003,0.6,False,True,11.03600194843532,2016,0.5119628079999999,,,0.3696,0.4465,73.1
16,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
17,California,39,"Royce, Ed","Murdock, Brett",0.5722999999999999,True,False,6,0.51572,0.6,False,True,11.352615857827386,2016,0.705029674,,False,0.7055,0.2945,72.6
18,California,38,"Downing, Ryan","Sanchez, Linda",0.2952,False,True,6,0.57106,0.6,False,True,11.103768550523514,2016,0.705029674,,,0.42469999999999997,0.5753,72.3
19,California,36,"Stone, Jeff","Ruiz, Raul",0.3795,False,True,6,0.31294,0.6,False,True,10.704748953825517,2016,0.705029674,,,0.3481,0.5033,71.83158
20,California,35,"Fischella, Tyler","Torres, Norma",0.2761,False,True,6,0.53792,0.6,False,True,10.953592137139195,2016,0.705029674,,,,0.6568,71.7
21,California,35,"Fischella, Tyler","Torres, Norma",0.2761,False,True,6,0.53792,0.6,False,True,10.953592137139195,2016,0.705029674,,,,0.1489,71.7
22,California,33,"Wright, Kenneth W.","Lieu, Ted",0.3356,False,True,6,0.27375,0.6,False,True,11.532296626649485,2016,0.705029674,,,0.2161,0.1881,69.1
23,California,31,"Chabot, Paul","Aguilar, Pete",0.4393,False,True,6,0.38521,0.6,False,True,10.979649712366646,2016,0.705029674,,,0.266,0.1736,67.6
24,California,30,"Reed, Mark","Sherman, Brad",0.2736,False,True,6,0.31918,0.6,False,True,11.248673419765405,2016,0.705029674,,,0.2007,0.5793,67.8
25,California,28,"Solis, Lenore","Schiff, Adam B.",0.22010000000000002,False,True,6,0.33626,0.6,False,True,11.065700422613832,2016,0.705029674,False,,,0.7448,69.1
26,California,27,"Orswell, Jack","Chu, Judy",0.3258,False,True,6,0.62346,0.6,False,True,11.173571078943777,2016,0.705029674,,,0.39630000000000004,0.6037,69.84761999999999
27,California,26,"Dagnesses, Rafael","Brownley, Julia",0.3962,False,True,6,0.1936,0.6,False,True,11.250443193540189,2016,0.673149146,,,0.44530000000000003,0.455,71.30526
28,California,25,"Knight, Steve","Caforio, Bryan",0.5313,True,False,6,0.3551,0.6,False,True,11.230124792409931,2016,0.672419585,,,0.284,,72.6
29,California,25,"Knight, Steve","Caforio, Bryan",0.5313,True,False,6,0.3551,0.6,False,True,11.230124792409931,2016,0.672419585,,,0.2958,,72.6
30,California,24,"Fareed, Justin","Carbajal, Salud",0.4658,False,False,6,0.20405,0.6,False,True,11.140832268303116,2016,0.548571457,,,0.158,0.43670000000000003,
31,California,22,"Nunes, Devin","Campos, Louie J.",0.6757,True,False,6,0.26336,0.6,False,True,10.942420605702637,2016,0.6770584909999999,,,0.679,0.2491,71.2
32,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
33,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
34,Texas,15,"Westley, Tim","Gonzalez, Vicente",0.3967,False,False,48,0.19968,0.46,False,True,10.644162195631331,2016,0.632448974,,,0.5493,1.0,
35,Kentucky,3,"Bratcher, Harold","Yarmuth, John",0.365,False,True,21,0.28353,0.36,False,True,10.84095251964169,2016,0.556412686,False,,1.0,0.8704000000000001,70.9
36,Texas,12,"Granger, Kay","Bradshaw, Bill",0.721,True,False,48,0.20989000000000002,0.46,False,True,11.038335333786334,2016,0.394540691,,False,1.0,1.0,66.0
37,Texas,10,"McCaul, Michael T.","Walter-Cadien, Tawana",0.5986,True,False,48,0.26426,0.46,False,,11.204714101265955,2016,0.520192731,,False,1.0,1.0,69.31429
38,Texas,9,"Martin, Jeff","Green, Al",0.1936,False,True,48,0.6287,0.46,False,True,10.737439609687094,2016,0.49481039200000004,False,,,1.0,72.64211
39,Texas,7,"Culberson, John","Cargas, James",0.5617,True,False,48,0.32713000000000003,0.46,False,True,11.17300930484645,2016,0.500249932,,False,1.0,0.6219,77.7
40,Texas,6,"Barton, Joe L.","Woolridge, Ruby Faye",0.5992000000000001,True,False,48,0.34188,0.46,False,True,11.093736615642253,2016,0.39652190200000004,,False,0.7265999999999999,1.0,72.7
41,Texas,3,"Johnson, Sam","Bell, Adam P.",0.639,True,False,48,0.31168,0.46,False,True,11.392101560555307,2016,0.506865849,,False,0.8056,,72.9
42,Texas,2,"Poe, Ted","Bryan, Pat",0.6273,True,False,48,0.33392,0.46,False,True,11.194247958815929,2016,0.496052417,,False,1.0,1.0,73.1
43,Texas,1,"Gohmert, Louie","McKellar, Shirley J.",0.7537999999999999,True,False,48,0.23629,0.46,False,True,10.72134924601891,2016,0.273443896,,False,1.0,1.0,72.6
44,North Dakota,0,"Cramer, Kevin","Iron Eyes, Chase",0.7443000000000001,True,False,38,0.12802,,,,11.012973837756116,2016,0.39890924,,,0.997,,70.4
45,Kansas,2,"Jenkins, Lynn","Potter, Britani",0.6517000000000001,True,False,20,0.1372,0.4,False,True,10.854720627607847,2016,0.428655324,,False,,1.0,70.52105
46,Kansas,3,"Yoder, Kevin","Sidie, Jay",0.5582,True,False,20,0.19267,0.4,False,True,11.178319485806725,2016,0.473624152,,False,,0.685,69.93333
47,Kansas,4,"Pompeo, Mike","Giroux, Daniel B.",0.672,True,False,20,0.17527,0.4,False,True,10.860036920273846,2016,0.368991381,,False,0.6265,1.0,69.0
48,Kentucky,1,"Comer, James R.","Gaskins, Sam",0.7264,False,False,21,0.10874,0.36,False,True,10.602939814230668,2016,0.320661777,,,1.0,0.5549000000000001,
49,Kentucky,4,"Massie, Thomas","Sidle, Calvin",0.7132,True,False,21,0.0807,0.36,False,True,11.01718547862228,2016,0.361909656,,,1.0,1.0,71.2
50,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
51,Kentucky,6,"Barr, Garland","Kemper, Nancy Jo",0.6109,True,False,21,0.15217,0.36,False,True,10.832872183921442,2016,0.415319244,,False,1.0,0.6087,72.8
52,Louisiana,1,"Scalise, Steve","Dugas, Lee",0.8534,True,False,22,0.21821,0.43,False,True,10.949718235522484,2016,0.481939124,,False,,,70.72381
53,Louisiana,3,"Angelle, Scott A.","Hebert, Jacob",0.7633,False,False,22,0.29921,0.43,False,True,10.707012640565683,2016,0.38148720399999997,,,,,
54,Louisiana,3,"Angelle, Scott A.","Hebert, Jacob",0.7633,False,False,22,0.29921,0.43,False,True,10.707012640565683,2016,0.38148720399999997,,,,,
55,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
56,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
57,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
58,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
59,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
