District,Projected Winner,Probability
Alabama-01,Byrne (R),0.943735680600744
Alabama-02,Roby (R),0.8778682405712199
Alabama-03,Rogers (R),0.9539407994650163
Alabama-04,Aderholt (R),0.9950659096371395
Alabama-05,Brooks (R),0.9886028452298751
Alabama-06,Palmer (R),0.9950470921115762
Alabama-07,Sewell (D),1.0
Alaska-00,Young (R),0.9062121756525869
Arizona-01,Rogers (R),0.8117624805932662
Arizona-02,Kirkpatrick (D),0.9991405430853268
Arizona-03,Grijalva (D),0.9554761691284344
Arizona-04,Gosar (R),0.9999986936241418
Arizona-05,Biggs (R),0.972224960352527
Arizona-06,Schweikert (R),0.9999487527657399
Arizona-07,Gallego (D),1.0
Arizona-08,Lesko (R),0.98467299319695
Arizona-09,Ferrara (R),0.6050463295823869
Arkansas-01,Crawford (R),0.9999996387758275
Arkansas-02,Hill (R),0.9987307682804515
Arkansas-03,Womack (R),0.9996799636469027
Arkansas-04,Westerman (R),0.9999904995703022
California-01,LaMalfa (R),0.8602091808211925
California-02,Huffman (D),0.8912305910516055
California-03,Garamendi (D),0.9121682094995163
California-04,McClintock (R),0.8579361431696088
California-05,Thompson (D),1.0
California-06,Jefferson (D),1.0
California-07,Bera (D),0.9660506175905063
California-08,Donnelly (R),1.0
California-09,McNerney (D),0.9703316318818261
California-10,Harder (D),0.7081001207178349
California-11,DeSaulnier (D),0.9847754998906748
California-12,Pelosi (D),0.9997504868790468
California-13,Lee (D),1.0
California-14,Speier (D),0.9993852671143975
California-15,Swalwell (D),0.9984107825122176
California-16,Costa (D),0.9810375447694943
California-17,Khanna (D),0.9999985799894155
California-18,Eshoo (D),0.9967560045506721
California-19,Lofgren (D),0.9981355445856323
California-20,Panetta (D),1.0
California-21,Valadao (R),0.9447649291173468
California-22,Nunes (R),0.9999257893001104
California-23,McCarthy (R),0.709873207677359
California-24,Carbajal (D),0.7035063482361035
California-25,Hill (D),0.5623139336050778
California-26,Brownley (D),0.7666372890674795
California-27,Witt (D),1.0
California-28,Schiff (D),0.9864267835666883
California-29,Cárdenas (D),0.9678437747684014
California-30,Sherman (D),0.9689917423653839
California-31,Aguilar (D),0.951868423770647
California-32,Napolitano (D),0.9975731431229918
California-33,Lieu (D),0.9904698972745357
California-34,Gomez (D),1.0
California-35,Torres (D),0.9902892876679168
California-36,Ruiz (D),0.9080110807513808
California-37,Bass (D),0.9998150759219132
California-38,Sánchez (D),0.9966323821222351
California-39,Cisneros (D),0.9277574751190164
